"Year","Change in living biomass","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2005,-32.976000,7.328000,0,3.664000,
2020,-129.705600,-15.938400,-0.916000,-2.748000,
2021,-129.705600,-15.938400,-0.916000,-2.748000,
2022,-130.526629,-15.953276,-0.944469,-3.807226,
