"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
2005,1.174534,1.211338,0.166038,0.004786,0.000712,-0.208339
2020,1.733000,2.078812,0.211159,0.007611,0.000479,-0.565061
2021,1.904964,2.237134,0.226205,0.007583,0.000489,-0.566447
2022,2.103836,2.434229,0.235854,0.007746,0.000498,-0.574491
