"Year","India","World"
1950,0.181245,2.372741
1951,0.188983,2.509281
1952,0.194950,2.496828
1953,0.189034,2.519009
1954,0.189533,2.522133
1955,0.192092,2.710743
1956,0.192993,2.829705
1957,0.209013,2.864250
1958,0.212997,2.886446
1959,0.216270,2.981084
1960,0.232625,3.109071
1961,0.242388,3.068418
1962,0.259664,3.117449
1963,0.274814,3.212604
1964,0.255980,3.313059
1965,0.288585,3.389338
1966,0.295306,3.482441
1967,0.296896,3.521091
1968,0.304711,3.638560
1969,0.302730,3.800910
1970,0.303026,4.031813
1971,0.292090,4.112250
1972,0.298824,4.219880
1973,0.299041,4.358162
1974,0.313757,4.257539
1975,0.348103,4.190445
1976,0.359808,4.342568
1977,0.356629,4.387958
1978,0.357573,4.445411
1979,0.362069,4.491730
1980,0.355892,4.385349
1981,0.412650,4.204303
1982,0.420611,4.095304
1983,0.452303,4.047822
1984,0.470585,4.114002
1985,0.480794,4.177916
1986,0.506147,4.164586
1987,0.529758,4.215461
1988,0.551688,4.303169
1989,0.586805,4.285587
1990,0.611894,4.275440
1991,0.628017,4.288762
1992,0.636154,4.101485
1993,0.636473,4.079975
1994,0.648400,4.061836
1995,0.681016,4.097368
1996,0.703663,4.164388
1997,0.714225,4.131378
1998,0.699041,4.059213
1999,0.675147,4.096031
2000,0.697210,4.148800
2001,0.691862,4.125716
2002,0.708651,4.162733
2003,0.724603,4.327484
2004,0.760411,4.421495
2005,0.773372,4.515645
2006,0.791350,4.611727
2007,0.822279,4.688505
2008,0.870161,4.708763
2009,0.927002,4.572416
2010,0.961076,4.774950
2011,0.938857,4.878259
2012,0.930275,4.887112
2013,0.910070,4.868795
2014,0.935881,4.830362
2015,0.955990,4.767311
2016,0.949611,4.713752
2017,0.946911,4.735624
2018,0.989655,4.780249
2019,0.960872,4.778430
2020,0.942130,4.479880
2021,0.991226,4.676995
2022,1.093717,4.676281
2023,1.197115,4.697341
2024,0.107108,4.709926
