"Year","India","Others","World"
1950,0.175993,2.734034,2.378734
1951,0.180308,2.894036,2.515504
1952,0.185836,2.880217,2.502896
1953,0.185374,2.907432,2.524970
1954,0.190940,2.911497,2.527923
1955,0.202976,3.130869,2.716614
1956,0.205595,3.270759,2.835461
1957,0.225518,3.308730,2.869636
1958,0.230415,3.334726,2.891376
1959,0.238235,3.446099,2.985590
1960,0.255327,3.595930,3.112931
1961,0.269612,3.549851,3.071906
1962,0.289929,3.606276,3.120741
1963,0.304267,3.715805,3.215595
1964,0.291057,3.836265,3.315825
1965,0.313577,3.922420,3.391959
1966,0.318272,4.031017,3.484865
1967,0.311875,4.077854,3.523155
1968,0.333011,4.212185,3.640223
1969,0.332305,4.402495,3.802135
1970,0.332910,4.673947,4.032588
1971,0.343964,4.767461,4.112597
1972,0.355904,4.892918,4.219747
1973,0.358369,5.054382,4.355556
1974,0.361539,4.936807,4.253289
1975,0.383128,4.843078,4.173319
1976,0.391060,5.007338,4.310191
1977,0.404122,5.059759,4.352449
1978,0.401309,5.159430,4.432504
1979,0.411656,5.201598,4.465701
1980,0.424402,5.084254,4.364099
1981,0.447593,4.853436,4.168842
1982,0.451724,4.728329,4.060496
1983,0.477648,4.684288,4.023942
1984,0.478978,4.741559,4.068703
1985,0.514596,4.820761,4.137420
1986,0.539172,4.801989,4.122175
1987,0.562909,4.869544,4.179654
1988,0.594312,4.966117,4.262697
1989,0.639050,4.935646,4.241189
1990,0.668214,4.964149,4.266701
1991,0.696198,4.981512,4.282473
1992,0.725863,4.750129,4.090168
1993,0.734463,4.727050,4.068620
1994,0.758681,4.701887,4.047994
1995,0.791919,4.742271,4.083544
1996,0.840686,4.814492,4.148108
1997,0.858720,4.775477,4.114970
1998,0.859736,4.694877,4.044522
1999,0.925804,4.727304,4.079117
2000,0.933022,4.795751,4.133621
2001,0.928843,4.769483,4.107635
2002,0.940917,4.815259,4.144280
2003,0.956657,5.012539,4.307030
2004,0.998785,5.118956,4.399256
2005,1.035263,5.228649,4.493561
2006,1.102690,5.328806,4.585831
2007,1.170331,5.408255,4.661509
2008,1.233818,5.421653,4.682571
2009,1.316438,5.238903,4.545518
2010,1.349863,5.475558,4.744937
2011,1.399984,5.592475,4.848876
2012,1.507019,5.576630,4.854014
2013,1.539815,5.550481,4.837742
2014,1.636889,5.489501,4.804597
2015,1.680554,5.400388,4.739116
2016,1.750474,5.316551,4.682487
2017,1.784068,5.337114,4.705259
2018,1.887906,5.371749,4.752195
2019,1.879854,5.368106,4.747814
2020,1.727293,5.048359,4.457744
2021,1.892074,5.227799,4.634748
2022,1.986169,5.260267,4.678452
2023,2.129769,5.264961,4.707772
2024,2.200978,5.275653,4.729075
2025,2.206033,5.268465,4.723859
