"Year","Coal","Oil","Gas","Cement","Flaring"
2000,0.175872,9.661968,0,0.552676,0
2001,0.175872,8.529792,0,0.531155,0
2002,0.263931,6.968507,0,0.586797,0
2003,0.245488,5.679200,0,0.662381,0
2004,0.285792,6.441312,0,0.711857,0
2005,0.333279,7.163664,0,0.841408,0
2006,0.443344,8.038816,0,0.853501,0
2007,0.399528,8.155503,0,0.985635,0
2008,0.410368,8.412544,0,1.088133,0
2009,0.366400,10.321488,0,1.278673,0
2010,0.626544,9.687616,0,1.430557,0
2011,1.014928,10.200576,0,1.712833,0
2012,0.908672,9.284576,0,1.774007,0
2013,1.004219,9.932242,0,1.969224,0
2014,1.246087,10.364511,0,2.270917,0
2015,1.322408,12.517083,0,2.456003,0
2016,1.304384,13.487184,0,2.599005,0
2017,1.227704,13.376477,0,2.414194,0
2018,1.838957,13.993658,0,2.336557,0
2019,1.623462,15.241490,0,2.312243,0
2020,1.583859,13.821848,0,2.870128,0
2021,1.702633,14.589311,0,3.583437,0
