"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.161975,0.294983,0.404309,0.144849,0.001895,0.000747
2001,0.153898,0.284754,0.448433,0.143361,0.001967,0.000815
2002,0.148489,0.277693,0.452616,0.140692,0.002039,0.000493
2003,0.151958,0.260179,0.497645,0.110335,0.001785,0.001892
2004,0.144086,0.276510,0.490368,0.118611,0.002127,0.008394
2005,0.128137,0.318935,0.506349,0.136843,0.002082,0.019264
2006,0.128624,0.337038,0.479672,0.132316,0.001905,0.015422
2007,0.130804,0.335790,0.448190,0.143367,0.002138,0.020281
2008,0.127058,0.319027,0.442161,0.143845,0.002155,0.031196
2009,0.106982,0.302875,0.383171,0.148823,0.002292,0.037197
2010,0.112711,0.284039,0.410955,0.151122,0.001879,0.038942
2011,0.113571,0.276993,0.392887,0.149477,0.002205,0.034224
2012,0.109273,0.259465,0.350639,0.149594,0.002103,0.033146
2013,0.095677,0.253723,0.326885,0.144706,0.002090,0.034021
2014,0.094576,0.282378,0.292306,0.146451,0.002936,0.039325
2015,0.098014,0.302550,0.313584,0.147307,0.002269,0.040191
2016,0.091823,0.300600,0.336104,0.148466,0.002496,0.040512
2017,0.094120,0.325794,0.357629,0.147994,0.002108,0.042192
2018,0.088914,0.349422,0.346407,0.143796,0.002114,0.046306
2019,0.076993,0.352904,0.354384,0.148320,0.002078,0.055285
2020,0.070542,0.322738,0.366947,0.145661,0.002307,0.065956
2021,0.060594,0.341361,0.388317,0.144542,0.001960,0.079118
