"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.593141,4.100335,1.497469,4.240902,0.706445,0.048023
2001,0.519076,4.120444,1.572062,4.273383,0.785461,0.053087
2002,0.534996,4.006731,1.569394,4.403959,0.634640,0.057474
2003,0.568726,4.013717,1.646166,4.418908,0.615391,0.059682
2004,0.541398,4.049468,1.680931,4.462148,0.617820,0.063720
2005,0.562264,3.993401,1.717653,4.466431,0.530671,0.078222
2006,0.519543,3.981987,1.658900,4.425188,0.576737,0.095316
2007,0.537872,3.881582,1.611393,4.295346,0.586376,0.147897
2008,0.505472,3.806794,1.669912,4.265920,0.643937,0.202855
2009,0.450102,3.655215,1.610319,3.952949,0.573004,0.234316
2010,0.481935,3.529653,1.784320,4.108815,0.626644,0.260478
2011,0.408985,3.453802,1.548685,4.215912,0.444826,0.300507
2012,0.463321,3.337807,1.599995,4.029506,0.580240,0.368127
2013,0.484179,3.294461,1.625154,3.989028,0.695087,0.402110
2014,0.361612,3.187633,1.364701,4.084877,0.612761,0.438395
2015,0.359547,3.187558,1.467064,4.069389,0.528913,0.496928
2016,0.351107,3.165613,1.603078,3.728731,0.577502,0.513372
2017,0.383255,3.179041,1.611565,3.662334,0.469111,0.560622
2018,0.342934,3.169654,1.542182,3.774199,0.608773,0.610306
2019,0.267958,3.144316,1.571834,3.633434,0.531675,0.686465
2020,0.193619,2.682412,1.460982,3.210197,0.578357,0.731491
2021,0.232737,2.908711,1.549490,3.429210,0.546047,0.739855
