"Year","Coal","Oil","Gas","Cement","Flaring"
2000,50.460434,239.488193,18.442373,16.047000,10.737000
2001,49.426704,241.794706,23.185590,15.227000,11.721000
2002,48.688815,239.219326,29.292858,14.390000,11.218000
2003,51.933112,232.433668,30.919220,13.096000,11.199000
2004,53.832656,239.768252,38.215091,13.273000,10.840000
2005,50.948421,240.221198,39.619381,14.349000,13.877000
2006,50.837875,242.248571,42.052554,15.440000,12.882000
2007,54.989055,256.003342,43.245603,17.200000,13.469000
2008,55.315497,267.238809,51.302693,18.884000,14.207000
2009,43.586053,262.705409,40.958538,19.031000,18.434000
2010,56.688185,286.079991,55.048824,21.288000,15.214000
2011,62.292401,303.885017,53.100582,22.845000,14.120000
2012,61.016471,327.733969,63.396560,24.998000,14.761000
2013,65.604089,342.338124,74.703787,26.652000,16.634000
2014,69.033897,356.753378,81.285725,26.908000,17.642000
2015,69.451663,330.358576,80.464761,25.082000,17.604000
2016,63.831218,312.939113,69.665669,22.415000,17.505000
2017,67.321878,316.425222,70.687790,19.080788,17.505000
2018,65.840737,300.605153,67.417072,19.342169,17.505000
2019,61.887745,302.333585,67.121321,19.864930,17.505000
2020,56.240806,281.089414,59.026096,22.052686,17.505000
2021,68.229888,296.986854,75.974385,23.792942,17.505000
