"Year","Coal","Oil","Gas","Cement","Flaring"
2000,372.149786,676.422214,170.603597,35.085743,0.511630
2001,381.227601,654.741169,169.623171,34.374185,0.548238
2002,398.394136,665.694780,173.418885,32.417253,0.524611
2003,411.820508,655.805004,178.651846,31.935273,0.505778
2004,419.813966,644.657995,177.564951,31.276190,0.477135
2005,430.348308,641.774213,176.001001,32.279646,0.507807
2006,427.482811,604.984148,192.654372,31.990874,0.553147
2007,444.982442,607.551169,209.122344,30.658350,0.615672
2008,426.290792,562.867939,204.484663,28.552561,0.565197
2009,411.271552,515.862741,202.176743,25.308482,0.500873
2010,445.976928,521.743014,213.341562,24.321271,0.474575
2011,430.475991,552.298459,247.922677,24.982896,0.477500
2012,450.013486,564.128956,257.022425,25.624795,0.490291
2013,481.216134,541.435289,256.490809,26.805206,0.438664
2014,472.934047,496.771315,258.548469,26.557375,0.449102
2015,465.830288,476.378763,246.428641,25.936140,0.424732
2016,456.551209,460.878576,251.595944,25.969471,0.457129
2017,458.482158,448.847338,245.692546,26.428778,0.436103
2018,441.964043,432.510939,233.953267,26.182944,0.423414
2019,432.250117,415.860472,224.230136,25.328006,0.368980
2020,399.366949,387.857350,222.604846,24.490267,0.344529
2021,418.820499,395.359389,221.525076,23.788868,0.344529
