"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.544253,3.727371,0.349362,0.061760,3.240419,0.333963
2001,0.535637,3.789161,0.442303,0.144914,2.833066,0.322163
2002,0.518437,3.719654,0.522585,0.139512,3.006199,0.364901
2003,0.537907,3.606173,0.584903,0.133829,3.190768,0.371852
2004,0.563965,3.720359,0.695609,0.115585,3.327930,0.405487
2005,0.543905,3.797848,0.724576,0.097484,3.478601,0.440122
2006,0.536306,3.871958,0.762112,0.135197,3.572974,0.436987
2007,0.568338,4.025521,0.784859,0.120634,3.807263,0.580790
2008,0.576476,4.198784,0.923792,0.135600,3.738510,0.729363
2009,0.465146,4.165479,0.744070,0.125003,3.930902,0.812608
2010,0.605512,4.553333,0.992764,0.139253,4.029706,0.962789
2011,0.646823,4.831205,0.989403,0.149232,4.253841,0.926019
2012,0.640079,4.999717,1.172755,0.151918,4.099829,0.957162
2013,0.689928,5.265378,1.381780,0.145460,3.836220,1.118274
2014,0.733571,5.442711,1.463597,0.143922,3.642059,1.303740
2015,0.737932,4.942792,1.545715,0.137072,3.487599,1.546108
2016,0.666539,4.695720,1.335164,0.146713,3.670966,1.606715
2017,0.702989,4.748030,1.354753,0.144699,3.553523,1.750156
2018,0.687523,4.510646,1.292069,0.143256,3.704801,1.964293
2019,0.646245,4.536582,1.286401,0.146870,3.775655,2.163666
2020,0.587278,4.217808,1.131253,0.127494,3.747642,2.189435
2021,0.712471,4.456353,1.456072,0.132921,3.417763,2.390030
