"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,3.571545,5.653565,2.985285,1.732534,0.265065,0.149451
2001,3.581770,5.727468,3.148135,1.738527,0.245364,0.184813
2002,3.589736,5.536008,3.143260,1.662143,0.249035,0.262021
2003,3.649032,5.427781,3.181391,1.653672,0.191281,0.334538
2004,3.557196,5.365764,3.197558,1.663098,0.215215,0.436784
2005,3.403394,5.256207,3.250118,1.612748,0.202434,0.540571
2006,3.539921,5.246054,3.312248,1.645039,0.205187,0.676135
2007,3.629832,4.750051,3.190903,1.372757,0.215499,0.857288
2008,3.354510,5.036650,3.222023,1.444249,0.206806,0.900544
2009,3.003453,4.823418,3.039484,1.301763,0.191333,0.932397
2010,3.226220,4.887519,3.170565,1.347702,0.209364,1.008370
2011,3.278848,4.727775,2.910986,1.028955,0.175493,1.236054
2012,3.369867,4.699401,2.919962,0.942099,0.214743,1.396821
2013,3.468235,4.803345,3.059076,0.915993,0.225645,1.454376
2014,3.333222,4.673945,2.660221,0.909001,0.191027,1.581563
2015,3.294201,4.667552,2.770330,0.853888,0.183976,1.832369
2016,3.203766,4.763947,3.055851,0.782694,0.198009,1.821575
2017,3.009347,4.867355,3.158585,0.701692,0.193050,2.075280
2018,2.904084,4.632057,3.090626,0.694668,0.168519,2.164304
2019,2.247184,4.661052,3.214189,0.683605,0.187237,2.309459
2020,1.806100,4.220222,3.136050,0.584118,0.173228,2.436823
2021,2.115600,4.184094,3.259091,0.623721,0.179923,2.279285
