"Year","Coal","Oil","Gas","Cement","Flaring"
2000,129.348416,237.661473,172.817180,7.232124,16.249763
2001,126.825289,241.579627,164.847650,6.982743,15.675062
2002,124.207371,242.471456,171.160253,7.148304,16.116984
2003,123.322189,258.360564,173.878669,7.248136,15.548064
2004,115.671275,267.364131,169.898775,7.519955,16.041633
2005,116.765220,261.212721,170.328128,7.613986,15.733328
2006,114.090517,259.345710,168.240515,7.728498,16.088779
2007,118.793126,266.117076,181.886055,7.731020,16.132977
2008,112.632130,257.303248,181.568155,6.988372,15.341640
2009,93.378892,253.572199,174.992114,5.364043,14.398480
2010,95.767083,259.503834,178.294216,6.005436,14.734690
2011,86.722655,261.661005,195.282737,6.020141,14.936635
2012,81.445934,263.709536,198.172490,6.532305,15.818377
2013,78.970095,263.938583,204.540349,5.973037,16.722913
2014,76.685625,256.683199,211.161562,5.911522,16.888576
2015,78.098819,258.061213,213.496439,6.184772,16.132493
2016,73.497136,256.234514,208.265201,6.114245,14.134506
2017,72.688193,260.403026,214.581205,6.827239,14.834711
2018,60.795568,266.964272,231.980501,6.914762,15.549502
2019,58.325705,269.325970,231.962485,7.125179,15.827711
2020,48.034995,238.378466,223.719402,6.624708,16.056983
2021,43.862080,241.659653,235.381822,6.624708,16.056983
