"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.551050,2.293244,1.188185,0,0.106622,0.049776
2001,0.699594,2.373799,1.228845,0,0.123264,0.061249
2002,0.721641,2.381073,1.335724,0,0.104374,0.065383
2003,0.968712,2.445344,1.424094,0,0.094998,0.066031
2004,0.889977,2.588121,1.303279,0,0.100358,0.069262
2005,1.019940,2.584398,1.310168,0,0.110556,0.069138
2006,1.208492,2.488811,1.336009,0,0.098573,0.068909
2007,1.516193,2.625216,1.247113,0,0.114885,0.073073
2008,1.318949,2.678191,1.429009,0,0.116622,0.085228
2009,1.388549,2.690384,1.515629,0,0.114451,0.097799
2010,1.657035,2.848443,1.585713,0,0.174424,0.101010
2011,1.962339,3.054391,1.538435,0,0.123334,0.106585
2012,2.026101,3.211590,1.546964,0,0.126340,0.117650
2013,1.777648,3.105390,1.602197,0,0.166038,0.127525
2014,1.879024,3.092677,1.585505,0,0.147864,0.159578
2015,2.141320,2.949044,1.647200,0,0.133210,0.132418
2016,2.233468,2.844787,1.606708,0,0.179995,0.207506
2017,2.393301,3.051072,1.555752,0,0.178510,0.211994
2018,2.838515,3.147439,1.603029,0,0.206078,0.399806
2019,3.414165,3.059548,1.583957,0,0.200807,0.487531
2020,3.253060,2.696431,1.350635,0,0.229984,0.568556
2021,3.281592,2.830217,1.334905,0,0.232647,0.630379
