"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.084908,0.803096,0.646290,0.009661,0.186911,0.010650
2001,0.088132,0.787399,0.682362,0.021170,0.193456,0.010022
2002,0.098808,0.767506,0.739777,0.019117,0.214544,0.011041
2003,0.126806,0.681261,0.919814,0.019083,0.256809,0.011964
2004,0.141407,0.688885,1.104357,0.024041,0.271963,0.012370
2005,0.156991,0.654821,1.173967,0.025104,0.316461,0
2006,0.166346,0.752175,1.199501,0.024898,0.309874,0
2007,0.227617,0.818336,1.216809,0.022642,0.322472,0.000002
2008,0.250823,0.830555,1.245874,0.016958,0.276568,0.000016
2009,0.206265,0.886216,1.249260,0.024542,0.289003,0.000054
2010,0.193855,0.877968,1.272542,0.024374,0.297864,0.000134
2011,0.167140,0.883914,1.272227,0.037560,0.303838,0.000266
2012,0.169519,0.856555,1.317500,0.025719,0.106079,0.000839
2013,0.134299,0.938922,1.281086,0.040134,0.308924,0.002907
2014,0.197990,0.971015,1.259521,0.043705,0.315758,0.005378
2015,0.195346,1.058258,1.315230,0.040050,0.317787,0.010420
2016,0.223635,1.183855,1.391424,0.048923,0.333236,0.021874
2017,0.299236,1.222176,1.466625,0.074624,0.289374,0.038675
2018,0.495527,1.018994,1.569154,0.084529,0.280784,0.048558
2019,0.563625,0.902414,1.601027,0.083618,0.342915,0.047122
2020,0.640970,0.882677,1.482448,0.086641,0.378065,0.044512
2021,0.671739,1.019566,1.612410,0.143305,0.355002,0.054693
