"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,2.129983,1.641534,0.739983,0,0.175289,0.012146
2001,2.108489,1.645507,0.798095,0,0.170523,0.012773
2002,2.155940,1.663109,0.821333,0,0.169123,0.020777
2003,2.217677,1.656936,0.827794,0,0.169245,0.027452
2004,2.310916,1.696665,0.844330,0,0.162732,0.041356
2005,2.297600,1.723327,0.837323,0,0.159425,0.059585
2006,2.359796,1.777110,0.933950,0,0.153089,0.071070
2007,2.339289,1.822573,1.044713,0,0.132831,0.082795
2008,2.438249,1.845777,1.027258,0,0.119525,0.083474
2009,2.357501,1.814907,1.048912,0,0.127100,0.085941
2010,2.186620,1.869505,1.141431,0,0.137351,0.096913
2011,2.131424,1.969417,1.180574,0,0.194373,0.124804
2012,1.996086,2.021109,1.186598,0,0.168162,0.146396
2013,1.894471,2.080933,1.248261,0,0.187292,0.177397
2014,1.878798,2.071542,1.339954,0,0.141259,0.195212
2015,1.945480,2.054083,1.396649,0,0.136565,0.225641
2016,1.944224,2.058203,1.363352,0,0.169901,0.245735
2017,1.877493,2.158487,1.336118,0,0.129336,0.259537
2018,1.831976,2.196400,1.323652,0,0.164884,0.319546
2019,1.751010,2.175100,1.581203,0,0.133050,0.403707
2020,1.686692,1.879802,1.551442,0,0.136345,0.482660
2021,1.630685,1.930856,1.418663,0,0.150685,0.589114
