"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,3.998172,11.406087,2.723941,3.259844,0.899175,0.185694
2001,4.093757,11.065242,2.798222,3.253051,0.862338,0.187531
2002,4.348469,10.989565,2.737657,3.168745,0.846929,0.201420
2003,4.468534,11.248840,3.005936,2.305059,0.965449,0.218945
2004,4.586769,10.953816,2.901746,2.845734,0.950949,0.230420
2005,4.805331,10.784648,2.978207,2.898673,0.799526,0.280544
2006,4.723711,10.398311,3.187812,2.991049,0.909691,0.284761
2007,4.958653,10.076311,3.434042,2.725397,0.758467,0.301635
2008,5.093211,9.702476,3.567582,2.443800,0.760379,0.296211
2009,4.273011,8.695826,3.329209,2.649705,0.708451,0.293606
2010,4.869844,8.779230,3.597722,2.803204,0.884327,0.332939
2011,4.617539,8.777282,4.032909,1.552680,0.819189,0.344484
2012,4.875117,9.369830,4.435743,0.170417,0.761052,0.376980
2013,5.073977,8.958681,4.447328,0.137487,0.778362,0.447672
2014,4.988648,8.508123,4.491076,0,0.796884,0.556831
2015,5.032731,8.166087,4.273835,0.042091,0.831467,0.721274
2016,5.023388,7.926204,4.191028,0.163489,0.765454,0.753497
2017,5.097468,7.811134,4.211513,0.267288,0.759662,0.905367
2018,4.991750,7.558910,4.165494,0.448821,0.772511,1.013392
2019,4.905338,7.322255,3.892438,0.597688,0.698812,1.090858
2020,4.574706,6.486882,3.748590,0.390119,0.731923,1.199702
2021,4.797545,6.612353,3.730407,0.553418,0.731336,1.315215
