"Year","Coal","Oil","Gas","Cement","Flaring"
2000,1.656171,67.433997,69.438256,2.771000,1.058923
2001,1.289728,64.336176,64.808832,2.481000,1.088208
2002,1.099232,57.497185,62.619608,1.729000,1.447323
2003,1.989552,59.356800,69.070064,2.280000,1.934592
2004,2.198349,67.811726,82.910717,2.701000,1.421599
2005,3.268288,71.799744,81.967344,3.241000,1.157824
2006,3.865520,81.912384,83.868960,3.764000,1.198128
2007,3.660336,77.951600,87.177552,3.998000,1.458272
2008,3.876512,88.657808,90.119744,3.990000,1.461936
2009,3.231648,82.381376,87.994624,3.810000,1.531552
2010,3.990096,90.145392,86.928400,4.178000,1.491248
2011,4.722987,86.908092,92.587402,4.586000,1.469292
2012,5.008688,85.587376,95.381248,4.184000,1.130801
2013,4.840051,87.487304,91.338094,4.581000,1.291297
2014,5.536412,84.291958,92.843900,4.336000,1.388267
2015,5.466688,86.954048,93.534592,4.571000,1.217507
2016,4.191696,84.555750,96.302759,4.029000,0.841225
2017,4.279469,80.855575,96.441927,4.362090,0.959815
2018,4.356408,74.392351,96.123096,4.368692,1.358789
2019,2.143440,74.848192,95.608416,4.140926,1.770640
2020,2.642460,70.912696,90.212510,3.508472,1.986558
2021,4.816141,80.308990,94.327529,4.670734,2.324770
