"Year","Coal","Oil","Gas","Cement","Flaring"
2000,86.836246,18.116290,18.134411,1.936861,0.322435
2001,84.798002,19.172562,19.299964,1.628836,0.331641
2002,82.675708,19.234477,18.538867,1.403479,0.333972
2003,83.968217,20.969221,18.973730,1.484852,0.322744
2004,83.408028,21.998120,19.119756,1.626764,0.314484
2005,80.603255,22.602097,18.759177,1.624534,0.313768
2006,81.883526,22.407563,18.415319,1.748455,0.335792
2007,83.626451,23.073623,17.459443,2.043081,0.303329
2008,78.658338,22.887978,17.297588,1.996149,0.298041
2009,73.285514,22.012917,16.315280,1.566075,0.259449
2010,74.552782,21.153830,18.398426,1.469000,0.266721
2011,73.743722,20.917488,16.824750,1.664531,0.262402
2012,70.748821,20.432937,16.624004,1.517150,0.265973
2013,66.848675,19.786045,16.826180,1.331788,0.201347
2014,64.879622,20.831922,15.112665,1.482727,0.203200
2015,64.295744,21.350403,15.908707,1.558164,0.192151
2016,64.708775,21.391062,17.008725,1.697599,0.158792
2017,64.285837,22.163491,17.713600,1.728266,0.127356
2018,63.553489,22.372277,16.641640,1.867543,0.104034
2019,57.447407,22.487223,17.361777,1.977237,0.081281
2020,49.846815,21.129351,17.430786,1.891029,0.052561
2021,51.777952,23.232264,18.681187,1.891029,0.052561
