"Year","Coal","Oil","Gas","Cement","Flaring"
2000,20.716256,23.193120,3.063104,5.628471,0
2001,24.951840,25.563728,2.564800,6.573677,0
2002,27.489548,28.636320,4.099801,8.273782,0
2003,31.974216,29.501133,5.206298,9.366052,0
2004,34.791912,33.890605,8.760263,10.300662,0
2005,39.457616,33.859024,9.394496,11.982747,0
2006,42.744224,32.411744,11.211840,12.257934,0
2007,36.462820,37.356804,12.479136,14.063253,0
2008,43.641904,40.421248,13.901216,15.362524,0
2009,45.488560,43.341456,15.374144,19.238715,0
2010,47.463456,49.302784,18.048864,23.770031,0
2011,59.547328,47.177664,16.279152,28.222820,0
2012,52.305870,44.208646,17.956785,28.117955,1.783782
2013,56.541395,43.908247,18.718895,30.315962,2.033840
2014,78.072512,51.442560,19.598736,32.694374,2.016789
2015,97.816090,63.221210,20.463081,34.297526,1.930854
2016,106.856896,60.364400,20.368176,36.822063,1.688278
2017,108.221700,62.369643,17.876953,42.735310,1.837155
2018,134.853520,69.762560,18.554496,49.637485,1.415020
2019,191.442495,76.332973,18.906453,52.854843,1.468186
2020,192.278987,65.319830,16.978545,53.038255,1.284115
2021,196.518368,60.613813,13.679221,54.120668,1.081508
