"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.196330,0.364124,0.055584,0,0.154898,0
2001,0.214557,0.394735,0.069480,0,0.192590,0
2002,0.245012,0.433510,0.083376,0,0.191221,0
2003,0.285254,0.461269,0.082438,0,0.198222,0
2004,0.373838,0.548789,0.144518,0,0.184843,0
2005,0.391465,0.545036,0.223726,0,0.170448,0.000575
2006,0.239815,0.534635,0.243180,0,0.201909,0.000747
2007,0.262513,0.595209,0.245959,0,0.228396,0.000908
2008,0.497741,0.624186,0.260515,0,0.262860,0.000649
2009,0.467037,0.636296,0.278267,0,0.301382,0.000829
2010,0.609326,0.722743,0.326625,0,0.285018,0.001098
2011,0.726157,0.719923,0.294595,0,0.407929,0.001106
2012,0.673999,0.728170,0.324993,0,0.526176,0.001115
2013,0.719894,0.754390,0.338750,0,0.567298,0.001400
2014,0.869821,0.801468,0.354695,0,0.606279,0.001415
2015,1.098444,0.970633,0.370328,0,0.554254,0.002582
2016,1.188646,1.059897,0.368591,0,0.618399,0.002770
2017,1.187695,1.110594,0.342745,0,0.839255,0.004308
2018,1.582250,1.168320,0.347747,0,0.804725,0.007089
2019,2.090390,1.205130,0.354348,0,0.631450,0.058139
2020,2.099547,0.996837,0.318218,0,0.693800,0.114280
2021,2.145838,0.935494,0.256381,0,0.714976,0.267104
