"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,4.428204,5.276902,13.182887,1.335261,1.746615,0.000856
2001,4.319669,5.433919,13.398077,1.389715,1.839162,0.001222
2002,4.337782,5.242370,13.560297,1.428080,1.704093,0.001837
2003,4.364689,5.433067,13.881427,1.506218,1.625264,0.003817
2004,4.182307,5.358518,14.242285,1.440529,1.822464,0.004615
2005,3.959649,5.377749,14.414437,1.478289,1.779324,0.004600
2006,4.062106,5.650530,15.182501,1.537700,1.775037,0.005097
2007,3.932077,5.622001,15.437419,1.563465,1.802218,0.004825
2008,4.216874,5.801938,15.218918,1.583133,1.666949,0.004842
2009,3.858296,5.566747,14.320416,1.578170,1.751356,0.004898
2010,3.790864,5.777711,15.261128,1.633998,1.663519,0.005259
2011,3.936304,6.198178,15.682901,1.648113,1.619327,0.005445
2012,4.120883,6.304226,15.430532,1.681626,1.613452,0.004948
2013,3.789766,6.295988,15.295227,1.624178,1.777365,0.004761
2014,3.665619,6.601006,15.199137,1.691655,1.691074,0.007756
2015,3.856880,6.342858,14.712294,1.818458,1.628646,0.009231
2016,3.736719,6.504436,15.143270,1.818280,1.779166,0.011555
2017,3.513981,6.479129,15.519621,1.867587,1.773981,0.014348
2018,3.628281,6.550177,16.361975,1.869827,1.815750,0.017219
2019,3.566735,6.690786,15.995258,1.903042,1.844532,0.023254
2020,3.291243,6.336464,15.245403,1.958912,2.008528,0.039737
2021,3.412108,6.706621,17.086107,2.010294,2.020912,0.061003
