"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.668675,0,-0.070050,0,
1991,,,,,
1992,,,,,
1993,,,,,
1994,,,,,
1995,-0.516367,,,,
1996,,,,,
1997,,,,,
1998,,,,,
1999,,,,,
2000,-0.470478,,,,
2001,-0.451126,,,,
2002,-0.462127,,,,
2003,-0.453652,,,,
2004,-0.496691,,,,
2005,-0.526416,,,,
2006,-0.526728,,,,
2007,-0.569215,,,,
2008,-0.563617,,,,
2009,-0.552866,,,,
2010,-0.552729,,,,
2011,-0.547519,,,0,
2012,-0.522790,,,0,
2013,-0.531506,,,0,
2014,-0.535051,,,0,
2015,-0.534002,,,0,
2016,-0.541984,,,0,
2017,-0.524917,,,0,
2018,-0.519764,,,0,
2019,-0.447834,,,0,
2020,-0.476386,,,0,
2021,-0.471018,,,0,
2022,-0.457670,,,0,
