"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,4.365247,66.712163,4915407,211384068
1972,4.572791,70.032759,5173904,213269802
1973,4.784823,72.997694,5466008,215178797
1974,4.620820,71.182190,5436461,217114909
1975,4.478038,69.288419,5425291,219081251
1976,4.747563,73.096388,5717614,221086429
1977,4.889398,74.991522,5982005,223135663
1978,4.941142,76.613332,6313127,225223303
1979,5.008359,77.428408,6513010,227339318
1980,4.808296,74.435316,6496288,229476354
1981,4.686172,72.230264,6661146,231636058
1982,4.447080,69.244840,6541053,233821844
1983,4.429187,68.980627,6840891,236030238
1984,4.661921,72.520259,7335940,238256844
1985,4.652383,72.349373,7641823,240499825
1986,4.663165,73.009856,7906433,242763148
1987,4.825445,75.484772,8179962,245052789
1988,5.050268,78.937547,8521643,247372264
1989,5.131927,80.821391,8834613,249725805
1990,5.113455,80.997613,9001231,252120309
1991,5.057931,80.879566,8991486,254539370
1992,5.167481,82.094201,9308206,256990613
1993,5.267343,83.806223,9564446,259532129
1994,5.358824,85.360415,9949782,262241196
1995,5.421502,87.195268,10216863,265163745
1996,5.610582,90.124157,10602294,268335003.000000
1997,5.686465,90.808055,11073801,271713635
1998,5.731050,91.404340,11570064,275175301
1999,5.804669,93.022753,12120016,278548150
2000,6.010508,95.132525,12620268,281710909
2001,5.904882,92.888991,12746261,284607993
2002,5.946771,94.231613,12968262,287279318
2003,6.011837,94.522708,13339311,289815562
2004,6.114007,96.381025,13846057,292354658
2005,6.134521,96.420367,14332499,294993511
2006,6.051668,95.636171,14741688,297758969
2007,6.131004,96.967013,15018267,300608429
2008,5.914078,94.578804,14997755,303486012
2009,5.478210,89.876272,14617299,306307567
2010,5.675786,92.912181,14992052,309011475
2011,5.540173,92.049394,15224554,311584047
2012,5.338698,89.619539,15567037,314043885
2013,5.474257,92.041476,15853795,316400538
2014,5.522807,92.988150,16242526,318673411
2015,5.371771,92.086147,16710458.000000,320878310
2016,5.248024,91.959826,16972347,323015995
2017,5.207751,92.256767,17348626,325084756
2018,5.375491,95.638438,17855032.392940,327096265
2019,5.255816,94.895969,18263734.084414,329064917
2020,4.712771,87.794597,17641853.938840,331002651
