"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,0.192145,2.838043,658700,567868018
1972,0.203227,2.987987,655055,581087256
1973,0.209291,3.049283,676643,594770134
1974,0.216061,3.232547,684663,608802600
1975,0.234439,3.473187,747309,623102897
1976,0.244990,3.642691,759738,637630087
1977,0.259215,3.852343,814855,652408776
1978,0.263398,3.998774,861404,667499806
1979,0.276542,4.223200,816282,682995354
1980,0.291992,4.350661,871265,698952844
1981,0.315266,4.818776,923595,715384993
1982,0.325684,4.777145,955697,732239504
1983,0.352530,5.026523,1025356,749428958
1984,0.361889,5.367804,1064533,766833410
1985,0.397953,5.668948,1120466,784360008
1986,0.426699,6.069131,1173986,801975244
1987,0.455759,6.457540,1220539,819682102
1988,0.492144,7.027743,1338050,837468930
1989,0.541135,7.674540,1417628,855334678
1990,0.578518,8.238237,1496072,873277798
1991,0.615925,8.690519,1511883,891273209
1992,0.656033,9.143167,1594770,909307016
1993,0.677916,9.371083,1670534,927403860
1994,0.716918,9.872133,1781774,945601831
1995,0.762121,10.615444,1916734,963922588
1996,0.825919,11.045814,2061438,982365243
1997,0.859686,11.657666,2144923,1000900030
1998,0.877698,12.359158,2277574,1019483581
1999,0.951749,12.718906,2479042,1038058156
2000,0.978919,13.366049,2574262,1056575549.000000
2001,0.992560,13.423104,2698444,1075000085
2002,1.023027,13.864140,2801092,1093317189
2003,1.059616,14.360781,3021268,1111523144
2004,1.125471,15.574482,3260642,1129623456
2005,1.185953,16.497391,3563387,1147609927
2006,1.259744,17.371207,3893498,1165486291
2007,1.358152,18.850940,4275113,1183209472
2008,1.462815,19.953149,4441456,1200669765
2009,1.612817,21.447880,4818082,1217726215
2010,1.677888,22.477384,5312415,1234281170
2011,1.780130,23.802889,5665073,1250287943
2012,1.963586,25.035245,5974181,1265780247
2013,2.036937,26.016666,6355699,1280842125
2014,2.185856,27.786559,6826671,1295600772
2015,2.268567,28.683099,7383346,1310152403
2016,2.382223,29.954082,7908501,1324517249
2017,2.433856,31.139914,8436882,1338676785
2018,2.599806,33.137453,8988063.501060,1352642280
2019,2.625968,33.891359,9351361.027773,1366417754
2020,2.441792,31.983769,8673200.326039,1380004385
