"Year","China","USA","EU27","India","Russia","Japan"
1959,0.720152,2.831737,1.940654,0.101561,0.848035,0.192620
1960,0.798800,2.897138,2.098390,0.111450,0.882927,0.232500
1961,0.570630,2.886696,2.197685,0.120539,0.910542,0.282787
1962,0.459618,2.993718,2.352540,0.132729,0.955667,0.292864
1963,0.456779,3.126294,2.511656,0.142601,1.024911,0.324835
1964,0.460637,3.264111,2.642182,0.139639,1.090020,0.358891
1965,0.500286,3.399342,2.675335,0.153868,1.156312,0.386471
1966,0.549459,3.571209,2.756098,0.159540,1.221123,0.419245
1967,0.460226,3.705254,2.817730,0.159726,1.276867,0.489307
1968,0.495507,3.840702,2.990898,0.174246,1.312749,0.561913
1969,0.607683,4.034926,3.189616,0.177589,1.367141,0.653215
1970,0.807953,4.339471,3.329246,0.181899,1.437871,0.767963
1971,0.909210,4.365247,3.417930,0.192145,1.525874,0.796544
1972,0.968646,4.572791,3.547885,0.203227,1.605411,0.852170
1973,1.008293,4.784823,3.721204,0.209291,1.673209,0.914265
1974,1.028100,4.620820,3.701513,0.216061,1.736921,0.914306
1975,1.183215,4.478038,3.628109,0.234439,1.825755,0.868511
1976,1.226421,4.747563,3.904294,0.244990,1.896073,0.907145
1977,1.340831,4.889398,3.865427,0.259215,1.960565,0.933238
1978,1.492778,4.941142,3.995781,0.263398,2.027894,0.901590
1979,1.525661,5.008359,4.105675,0.276542,2.044713,0.953071
1980,1.494496,4.808296,4.069616,0.291992,2.125165,0.944869
1981,1.476488,4.686172,3.855106,0.315266,2.084698,0.926835
1982,1.606585,4.447080,3.763599,0.325684,2.124002,0.897408
1983,1.694217,4.429187,3.720613,0.352530,2.154129,0.880909
1984,1.844828,4.661921,3.755587,0.361889,2.173259,0.937070
1985,1.998083,4.652383,3.812653,0.397953,2.343796,0.912401
1986,2.104213,4.663165,3.796530,0.426699,2.344124,0.912260
1987,2.257739,4.825445,3.830322,0.455759,2.355475,0.902530
1988,2.425894,5.050268,3.787560,0.492144,2.430947,0.985464
1989,2.463654,5.131927,3.825595,0.541135,2.400308,1.021682
1990,2.484855,5.113455,3.863410,0.578518,2.525518,1.158007
1991,2.606096,5.057931,3.799887,0.615925,2.396205,1.169692
1992,2.730788,5.167481,3.672347,0.656033,1.957886,1.179396
1993,2.921651,5.267343,3.603904,0.677916,1.859679,1.172339
1994,3.100002,5.358824,3.585958,0.716918,1.641616,1.227273
1995,3.357909,5.421502,3.635345,0.762121,1.613141,1.239620
1996,3.503234,5.610582,3.720561,0.825919,1.580376,1.251531
1997,3.510169,5.686465,3.654818,0.859686,1.475360,1.244781
1998,3.360455,5.731050,3.645888,0.877698,1.458368,1.204993
1999,3.350340,5.804669,3.589873,0.951749,1.486301,1.241611
2000,3.439152,6.010508,3.601249,0.978919,1.471259,1.264375
2001,3.514934,5.904882,3.658646,0.992560,1.507707,1.249766
2002,3.872595,5.946771,3.659456,1.023027,1.495694,1.279120
2003,4.545014,6.011837,3.743619,1.059616,1.525607,1.287468
2004,5.223755,6.114007,3.754793,1.125471,1.530694,1.282862
2005,5.876555,6.134521,3.735105,1.185953,1.547599,1.290371
2006,6.488804,6.051668,3.744767,1.259744,1.606542,1.267362
2007,6.978612,6.131004,3.702618,1.358152,1.604549,1.303134
2008,7.496832,5.914078,3.616942,1.462815,1.636923,1.232314
2009,7.886533,5.478210,3.324520,1.612817,1.528961,1.163213
2010,8.616653,5.675786,3.425813,1.677888,1.613113,1.214816
2011,9.528556,5.540173,3.326279,1.780130,1.665207,1.264866
2012,9.775622,5.338698,3.252490,1.963586,1.680104,1.306010
2013,9.952744,5.474257,3.171554,2.036937,1.619420,1.315343
2014,9.985583,5.522807,3.035948,2.185856,1.622589,1.263729
2015,9.848420,5.371771,3.088882,2.268567,1.623100,1.223396
2016,9.720444,5.248024,3.095704,2.382223,1.618599,1.203718
2017,9.920459,5.207751,3.120029,2.433856,1.646457,1.188123
2018,10.289990,5.375491,3.046089,2.599806,1.691647,1.143458
2019,10.489989,5.255816,2.909711,2.625968,1.679449,1.105929
2020,10.667887,4.712771,2.598575,2.441792,1.577136,1.030775
