"Year","Land-use change","Coal","Oil","Gas","Others"
1850,92.799377,7.200623,0,0,0
1851,92.867909,7.132091,0,0,0
1852,92.826973,7.173027,0,0,0
1853,92.758703,7.241297,0,0,0
1854,92.486612,7.513388,0,0,0
1855,92.289078,7.710711,0.000212,0,0
1856,92.083293,7.916329,0.000378,0,0
1857,91.930121,8.069332,0.000547,0,0
1858,91.806029,8.193254,0.000717,0,0
1859,91.661675,8.337499,0.000826,0,0
1860,91.430015,8.568401,0.001584,0,0
1861,91.165929,8.829984,0.004087,0,0
1862,90.925543,9.067067,0.007390,0,0
1863,90.666950,9.323084,0.009966,0,0
1864,90.376745,9.611466,0.011790,0,0
1865,90.067430,9.918741,0.013830,0,0
1866,89.767898,10.215223,0.016880,0,0
1867,89.449848,10.530513,0.019640,0,0
1868,89.142863,10.834493,0.022644,0,0
1869,88.818570,11.155544,0.025885,0,0
1870,88.544671,11.425783,0.029546,0,0
1871,88.271881,11.695114,0.033004,0,0
1872,87.957953,12.005380,0.036668,0,0
1873,87.639378,12.318007,0.042615,0,0
1874,87.407030,12.544221,0.048749,0,0
1875,87.144495,12.801736,0.053769,0,0
1876,86.899749,13.041097,0.059155,0,0
1877,86.669325,13.264035,0.066640,0,0
1878,86.459119,13.466084,0.074796,0,0
1879,86.226915,13.688135,0.084950,0,0
1880,85.934111,13.969012,0.096877,0,0.000000
1881,85.639668,14.250678,0.109653,0,0.000000
1882,85.337569,14.539380,0.122898,0.000152,0.000001
1883,85.021135,14.845533,0.132846,0.000485,0.000001
1884,84.722034,15.132914,0.143580,0.001470,0.000001
1885,84.439803,15.401663,0.154052,0.004481,0.000001
1886,84.170195,15.653355,0.166017,0.010432,0.000002
1887,83.891395,15.911168,0.178311,0.019125,0.000002
1888,83.560767,16.217901,0.190420,0.030910,0.000002
1889,83.252497,16.504381,0.204469,0.038650,0.000003
1890,82.918800,16.814179,0.221575,0.045442,0.000003
1891,82.585339,17.123317,0.241440,0.049900,0.000003
1892,82.272449,17.414742,0.259516,0.053288,0.000004
1893,81.994595,17.671428,0.277832,0.056140,0.000004
1894,81.714506,17.932713,0.294350,0.058427,0.000004
1895,81.414457,18.211143,0.313660,0.060736,0.000005
1896,81.114128,18.489169,0.333936,0.062763,0.000005
1897,80.803647,18.777064,0.354413,0.064871,0.000005
1898,80.477748,19.080508,0.374301,0.067437,0.000006
1899,80.109326,19.425496,0.394120,0.071052,0.000006
1900,79.733296,19.776010,0.415992,0.074694,0.000007
1901,79.360515,20.120825,0.439934,0.078718,0.000007
1902,78.996644,20.455394,0.465096,0.082858,0.000008
1903,78.588584,20.833854,0.490500,0.087053,0.000009
1904,78.201515,21.188283,0.518936,0.091256,0.000010
1905,77.788992,21.569227,0.545753,0.096016,0.000011
1906,77.362010,21.965673,0.571077,0.101227,0.000013
1907,76.856577,22.434183,0.602890,0.106336,0.000014
1908,76.415824,22.836236,0.636775,0.111106,0.000060
1909,75.970908,23.241411,0.670551,0.117027,0.000102
1910,75.511575,23.659572,0.705628,0.123075,0.000150
1911,75.061253,24.067633,0.741849,0.129065,0.000200
1912,74.591360,24.495381,0.777389,0.135613,0.000257
1913,74.079349,24.959345,0.818860,0.142126,0.000320
1914,73.673852,25.316716,0.860430,0.148640,0.000361
1915,73.294647,25.645522,0.903982,0.155445,0.000405
1916,72.871759,26.013438,0.950448,0.163902,0.000453
1917,72.434339,26.390896,1.001743,0.172535,0.000488
1918,72.030127,26.737370,1.052434,0.179557,0.000513
1919,71.742309,26.959414,1.110792,0.186945,0.000539
1920,71.374522,27.242887,1.187263,0.194759,0.000570
1921,71.118778,27.409175,1.270948,0.200505,0.000594
1922,70.847734,27.582223,1.362086,0.207322,0.000635
1923,70.506589,27.815378,1.460392,0.216963,0.000677
1924,70.179321,28.038320,1.553561,0.228079,0.000720
1925,69.863289,28.244498,1.648022,0.239752,0.004438
1926,69.572386,28.428998,1.738233,0.252304,0.008079
1927,69.234802,28.652650,1.834980,0.265833,0.011735
1928,68.915447,28.853428,1.930553,0.280411,0.020160
1929,68.561462,29.077512,2.033482,0.299025,0.028520
1930,68.282905,29.235920,2.127590,0.317341,0.036244
1931,68.087703,29.321607,2.215485,0.332571,0.042634
1932,67.955951,29.354022,2.296194,0.346411,0.047422
1933,67.807460,29.396633,2.383902,0.360179,0.051827
1934,67.625552,29.467858,2.473982,0.375564,0.057044
1935,67.424048,29.550751,2.570146,0.392251,0.062804
1936,67.179046,29.667151,2.673176,0.410943,0.069684
1937,66.904080,29.797893,2.789589,0.431755,0.076683
1938,66.677180,29.890899,2.897966,0.450959,0.082996
1939,66.427202,30.006475,3.007473,0.470382,0.088468
1940,66.145876,30.152900,3.117537,0.490882,0.092805
1941,65.867854,30.298874,3.223692,0.510395,0.099186
1942,65.603170,30.443454,3.317453,0.531515,0.104408
1943,65.337689,30.581886,3.416805,0.554846,0.108773
1944,65.071312,30.702626,3.535391,0.579879,0.110793
1945,64.910839,30.714211,3.653673,0.608305,0.112972
1946,64.710263,30.747307,3.788487,0.636632,0.117311
1947,64.459905,30.820404,3.929543,0.667574,0.122573
1948,64.185052,30.899212,4.084113,0.702596,0.129027
1949,63.932123,30.957047,4.234426,0.740016,0.136388
1950,63.630594,31.007516,4.422087,0.783286,0.156517
1951,63.312597,31.061218,4.613802,0.834233,0.178150
1952,63.010069,31.090728,4.811020,0.887670,0.200513
1953,62.709411,31.109315,5.015791,0.942827,0.222656
1954,62.417564,31.110984,5.227623,0.999409,0.244420
1955,62.089051,31.122196,5.460180,1.059228,0.269345
1956,61.743039,31.133848,5.705922,1.121283,0.295907
1957,61.398756,31.137279,5.953794,1.188396,0.321775
1958,61.060397,31.131563,6.202133,1.260101,0.345806
1959,60.688409,31.143385,6.462336,1.335503,0.370368
1960,60.292693,31.159371,6.736200,1.416832,0.394904
1961,59.912800,31.145348,7.022198,1.500773,0.418882
1962,59.510181,31.127353,7.327176,1.591944,0.443346
1963,59.060106,31.132037,7.650080,1.689202,0.468575
1964,58.572356,31.140517,7.994359,1.794956,0.497811
1965,58.043251,31.159789,8.361816,1.905896,0.529248
1966,57.485449,31.174276,8.752810,2.024604,0.562861
1967,56.928767,31.162071,9.159969,2.148260,0.600933
1968,56.352899,31.132620,9.594693,2.279550,0.640237
1969,55.732033,31.107887,10.055793,2.420588,0.683698
1970,55.068016,31.065966,10.574120,2.561807,0.730091
1971,54.394641,31.008178,11.106869,2.710636,0.779677
1972,53.709945,30.928898,11.666747,2.863357,0.831053
1973,53.001911,30.846864,12.248372,3.015767,0.887086
1974,52.319550,30.776777,12.796801,3.166946,0.939926
1975,51.701473,30.697833,13.304753,3.311605,0.984336
1976,51.044816,30.634008,13.826095,3.461789,1.033292
1977,50.386109,30.574691,14.350528,3.608613,1.080059
1978,49.710341,30.528668,14.875396,3.758047,1.127548
1979,49.040020,30.492225,15.384741,3.912660,1.170353
1980,48.397202,30.480290,15.846359,4.068052,1.208097
1981,47.806521,30.474971,16.258548,4.222081,1.237878
1982,47.241057,30.485916,16.640647,4.365870,1.266510
1983,46.710964,30.498791,16.993049,4.504819,1.292376
1984,46.198745,30.510601,17.322848,4.653177,1.314629
1985,45.671298,30.555277,17.634549,4.803269,1.335606
1986,45.150843,30.600681,17.950428,4.942034,1.356015
1987,44.620777,30.656162,18.254471,5.092470,1.376121
1988,44.078993,30.715597,18.560437,5.246631,1.398342
1989,43.542171,30.770955,18.864011,5.404909,1.417954
1990,43.017188,30.803679,19.159726,5.575005,1.444403
1991,42.493655,30.820645,19.471794,5.742507,1.471399
1992,42.016016,30.833605,19.744348,5.908735,1.497296
1993,41.545140,30.849857,20.006040,6.075644,1.523319
1994,41.106916,30.854789,20.251701,6.236226,1.550367
1995,40.669766,30.866743,20.489105,6.396300,1.578086
1996,40.233047,30.877331,20.725354,6.559310,1.604958
1997,39.877198,30.846425,20.936801,6.709136,1.630440
1998,39.480013,30.832858,21.166907,6.864586,1.655637
1999,39.087111,30.811046,21.399210,7.021542,1.681092
2000,38.671998,30.805473,21.633511,7.178907,1.710111
2001,38.252881,30.805740,21.866913,7.334296,1.740170
2002,37.854859,30.808406,22.077833,7.487636,1.771266
2003,37.455844,30.826257,22.276794,7.638141,1.802965
2004,37.027551,30.866607,22.478938,7.789585,1.837318
2005,36.579109,30.933770,22.672774,7.940376,1.873972
2006,36.146307,31.008317,22.846908,8.085975,1.912494
2007,35.692595,31.105831,23.012927,8.234651,1.953996
2008,35.247940,31.210822,23.162756,8.383626,1.994856
2009,34.839924,31.304476,23.297643,8.521810,2.036148
2010,34.408821,31.416409,23.425783,8.670746,2.078242
2011,33.992937,31.538362,23.531981,8.815590,2.121129
2012,33.579540,31.658534,23.638004,8.959733,2.164189
2013,33.165612,31.779652,23.744942,9.100962,2.208832
2014,32.770561,31.890212,23.844827,9.239983,2.254417
2015,32.396330,31.978920,23.950520,9.378979,2.295250
2016,32.003972,32.064350,24.067667,9.525723,2.338288
2017,31.617174,32.144930,24.183790,9.672206,2.381900
2018,31.239464,32.221518,24.289067,9.824477,2.425475
2019,30.872853,32.289139,24.392224,9.975537,2.470247
2020,30.524565,32.363329,24.469514,10.125701,2.516890
