"Year","Cumulative","Production","Consumption","Population","GDP-MER","GDP-PPP"
1,13.626017,29.065831,25.728041,18.588055,17.027101,19.446654
2,24.894318,12.840461,15.328065,4.266108,23.754407,15.101048
3,17.226969,7.080104,9.385617,5.768958,17.515347,13.835881
4,3.148735,6.652931,6.567598,17.714700,3.272259,7.732008
5,41.103961,44.360673,42.990680,53.662178,38.430885,43.884408
