"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1850,89.910207,0.007542,0,10.082251,0,0,0
1851,88.736675,0.003753,0,11.259572,0,0,0
1852,88.156768,0.002462,0,11.840771,0,0,0
1853,87.603415,0.001810,0,12.394775,0,0,0
1854,87.449524,0.001381,0,12.549096,0,0,0
1855,87.022522,0.004483,0,12.972995,0,0,0
1856,86.760249,0.003712,0,13.236039,0,0,0
1857,86.537599,0.003163,0,13.459238,0,0,0
1858,86.348614,0.023800,0,13.627586,0,0,0
1859,86.138552,0.049330,0,13.812118,0,0,0
1860,86.031820,0.069606,0,13.888661,0,0,0.009913
1861,86.073487,0.081279,0,13.820280,0,0,0.024954
1862,86.081759,0.091671,0,13.794009,0,0,0.032561
1863,85.977911,0.101206,0,13.881215,0,0,0.039667
1864,85.899197,0.107839,0,13.950830,0,0,0.042134
1865,85.896345,0.112396,0,13.940888,0,0.003177,0.047194
1866,85.906354,0.122054,0,13.908071,0,0.006940,0.056581
1867,85.753258,0.119050,0,14.049704,0,0.010372,0.067615
1868,85.514847,0.115317,0,14.283286,0,0.012407,0.074143
1869,85.210396,0.113576,0,14.582610,0,0.015450,0.077967
1870,84.899585,0.112462,0,14.890910,0,0.016496,0.080547
1871,84.630198,0.113397,0,15.154969,0,0.017842,0.083594
1872,84.230055,0.113689,0,15.551038,0,0.019436,0.085782
1873,83.810534,0.113053,0,15.966707,0,0.020638,0.089068
1874,83.422072,0.120095,0,16.343338,0,0.021960,0.092535
1875,83.140706,0.135053,0,16.605824,0,0.023924,0.094493
1876,82.933709,0.149729,0,16.794580,0,0.024928,0.097055
1877,82.645264,0.161732,0,17.065394,0,0.027251,0.100358
1878,82.400978,0.193975,0,17.271410,0,0.028329,0.105308
1879,82.003509,0.225056,0,17.629645,0,0.027653,0.114138
1880,81.581094,0.254598,0,18.009775,0,0.026964,0.127569
1881,81.165049,0.280994,0,18.390571,0,0.026597,0.136789
1882,80.684591,0.307020,0,18.835732,0,0.026005,0.146652
1883,80.204786,0.333295,0,19.278567,0,0.025432,0.157919
1884,79.702607,0.359624,0.000123,19.743246,0.000021,0.024990,0.169390
1885,79.235622,0.384756,0.000311,20.172885,0.000039,0.024682,0.181706
1886,78.750075,0.410203,0.000534,20.622239,0.000074,0.024091,0.192783
1887,78.250795,0.438370,0.000734,21.077543,0.005277,0.024025,0.203257
1888,77.594294,0.466602,0.001058,21.690671,0.009043,0.023939,0.214393
1889,77.165019,0.500237,0.001569,22.068866,0.016128,0.024443,0.223738
1890,76.599434,0.533769,0.002690,22.586476,0.020882,0.024642,0.232107
1891,76.030717,0.570649,0.003691,23.105335,0.023580,0.024904,0.241125
1892,75.437529,0.607515,0.005259,23.647134,0.027699,0.025157,0.249707
1893,74.858586,0.648654,0.011272,24.166963,0.031966,0.025451,0.257108
1894,74.457695,0.692879,0.018821,24.502846,0.037228,0.025569,0.264962
1895,73.972734,0.742552,0.028493,24.914078,0.044425,0.025549,0.272169
1896,73.555191,0.791619,0.040016,25.257916,0.051056,0.025705,0.278498
1897,73.164112,0.842066,0.051911,25.574514,0.056634,0.025423,0.285339
1898,72.723766,0.901831,0.066092,25.926893,0.062715,0.025679,0.293023
1899,72.210428,0.957915,0.077304,26.359132,0.069384,0.026189,0.299650
1900,71.703520,1.018477,0.079343,26.780846,0.073883,0.027494,0.316436
1901,71.109830,1.087062,0.084806,27.269493,0.085499,0.028428,0.334881
1902,70.490934,1.152673,0.093989,27.782965,0.098153,0.029465,0.351821
1903,69.749984,1.216904,0.106383,28.420566,0.109874,0.030625,0.365665
1904,69.088608,1.288485,0.119646,28.969560,0.122472,0.031992,0.379237
1905,68.361624,1.351982,0.133982,29.592668,0.134625,0.033462,0.391657
1906,67.624189,1.447491,0.149389,30.186049,0.151137,0.034815,0.406930
1907,66.816314,1.536745,0.164579,30.859488,0.165805,0.036357,0.420712
1908,66.248477,1.640481,0.179419,31.274777,0.183081,0.037554,0.436211
1909,65.617284,1.731221,0.195770,31.774453,0.196134,0.038952,0.446185
1910,64.932483,1.808204,0.213319,32.332771,0.213515,0.040028,0.459679
1911,64.308543,1.900201,0.228336,32.815380,0.232058,0.041676,0.473805
1912,63.690094,1.968665,0.243085,33.317232,0.249754,0.042936,0.488233
1913,63.082588,2.038340,0.257859,33.808965,0.266532,0.044786,0.500930
1914,62.540726,2.120000,0.272374,34.223857,0.278061,0.046593,0.518389
1915,61.974415,2.192127,0.285981,34.682062,0.286318,0.047800,0.531298
1916,61.350833,2.264503,0.302008,35.203493,0.291470,0.048870,0.538822
