"Year","World","RoW","China","USA","EU27","India"
2000,25.234207,11.204379,3.439152,6.010508,3.601249,0.978919
2001,25.451054,11.380033,3.514934,5.904882,3.658646,0.992560
2002,26.039191,11.537343,3.872595,5.946771,3.659456,1.023027
2003,27.366723,12.006636,4.545014,6.011837,3.743619,1.059616
2004,28.627533,12.409507,5.223755,6.114007,3.754793,1.125471
2005,29.602777,12.670642,5.876555,6.134521,3.735105,1.185953
2006,30.583530,13.038547,6.488804,6.051668,3.744767,1.259744
2007,31.493742,13.323355,6.978612,6.131004,3.702618,1.358152
2008,32.069444,13.578778,7.496832,5.914078,3.616942,1.462815
2009,31.607042,13.304963,7.886533,5.478210,3.324520,1.612817
2010,33.343300,13.947161,8.616653,5.675786,3.425813,1.677888
2011,34.468451,14.293313,9.528556,5.540173,3.326279,1.780130
2012,34.974075,14.643679,9.775622,5.338698,3.252490,1.963586
2013,35.283025,14.647534,9.952744,5.474257,3.171554,2.036937
2014,35.534443,14.804248,9.985583,5.522807,3.035948,2.185856
2015,35.496406,14.918766,9.848420,5.371771,3.088882,2.268567
2016,35.452459,15.006064,9.720444,5.248024,3.095704,2.382223
2017,35.925738,15.243643,9.920459,5.207751,3.120029,2.433856
2018,36.646140,15.334765,10.289990,5.375491,3.046089,2.599806
2019,36.702503,15.421019,10.489989,5.255816,2.909711,2.625968
2020,34.807259,14.386234,10.667887,4.712771,2.598575,2.441792
