"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,8.856189,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,9.386934,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1961,9.417463,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1962,9.750057,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1963,10.271524,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1964,10.828858,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1965,11.317233,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1966,11.865861,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1967,12.243046,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1968,12.909913,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1969,13.766571,"NaN",13.899581,"NaN","NaN","NaN","NaN","NaN"
1970,14.897567,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1971,15.498267,648.790830,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,16.221152,642.560792,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,17.078792,632.643595,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,17.009594,611.244252,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,17.046497,604.339775,"NaN",17.125684,"NaN","NaN","NaN","NaN"
1976,17.983973,602.469009,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,18.494531,594.560994,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,19.067767,590.887887,21.052806,"NaN","NaN","NaN","NaN","NaN"
1979,19.610018,584.583115,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,19.492614,569.788073,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,19.026910,546.276272,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,18.875760,537.812150,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,18.998032,528.185525,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,19.656717,524.943028,"NaN",22.715435,"NaN","NaN","NaN","NaN"
1985,20.317484,525.164411,"NaN","NaN",20.142643,"NaN","NaN","NaN"
1986,20.619624,514.562539,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,21.266195,512.660163,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,22.101399,510.880475,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,22.406833,500.175488,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,22.749574,493.510056,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,23.238102,498.034407,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,22.569624,474.888886,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,22.803495,471.014364,"NaN","NaN","NaN",22.626755,"NaN","NaN"
1994,22.964583,460.668652,"NaN","NaN",25.237069,"NaN","NaN","NaN"
1995,23.453944,455.301882,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,24.154961,451.533231,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,24.300550,436.982004,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,24.206271,424.583239,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,24.518962,415.576343,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,25.234207,408.462271,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,25.451054,402.342604,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,26.039191,400.464157,"NaN","NaN","NaN",26.392794,"NaN","NaN"
2003,27.366723,405.624236,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,28.627533,403.169422,"NaN","NaN","NaN","NaN",28.559529,"NaN"
2005,29.602777,397.834879,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,30.583530,390.067981,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,31.493742,381.058648,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,32.069444,377.174211,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,31.607042,372.762730,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,33.343300,373.589288,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,34.468451,371.157165,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,34.974075,364.511076,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,35.283025,355.632242,"NaN","NaN","NaN","NaN",36.456837,"NaN"
2014,35.534443,346.061634,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,35.496406,334.462370,"NaN","NaN","NaN","NaN","NaN",35.260153
2016,35.452459,323.745106,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,35.925738,316.372081,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,36.646140,311.595307,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,36.702503,303.468194,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,34.807259,297.053904,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,36.422640,293.577607,"NaN","NaN","NaN","NaN","NaN","NaN"
2023,"NaN","NaN","NaN","NaN","NaN","NaN","NaN",38.144852
