"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,6.880198,4.612454,0.913057,0.157684,0.769904,0.032751
2001,6.937031,4.626080,0.915399,0.187659,0.715553,0.041382
2002,7.246044,4.721883,0.955959,0.191028,0.676604,0.072621
2003,7.588741,4.810128,1.023368,0.177928,0.679636,0.080981
2004,8.076703,5.091184,1.104089,0.207144,0.980720,0.114641
2005,8.842008,5.177319,1.235723,0.171660,0.943371,0.127310
2006,9.181534,5.469157,1.291579,0.169664,1.083676,0.175596
2007,10.049559,5.842442,1.397169,0.170516,1.172488,0.218765
2008,10.874461,6.136988,1.439556,0.144739,1.094463,0.262941
2009,11.764199,6.456516,1.767891,0.158819,1.004304,0.296151
2010,12.162719,6.597250,2.122618,0.216660,1.020727,0.357410
2011,12.754429,6.912779,2.170292,0.300623,1.228708,0.436058
2012,13.815927,7.331103,2.005167,0.307295,1.073563,0.502189
2013,14.785192,7.384544,1.764695,0.306998,1.216470,0.558768
2014,16.234703,7.588126,1.746056,0.317780,1.273439,0.626456
2015,16.553687,8.200636,1.721046,0.348872,1.213823,0.645035
2016,16.842325,8.992905,1.828475,0.343096,1.162271,0.785009
2017,17.440949,9.258795,1.934480,0.336730,1.222410,0.946551
2018,18.587696,9.676927,2.091237,0.349401,1.250422,1.181770
2019,18.597664,9.987815,2.133012,0.402599,1.444266,1.326003
2020,17.536702,9.021226,2.145630,0.396238,1.453391,1.430581
