"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,2.831737,2.425969,0.192620,0.383515,0.720152,0.101561,0.848035,1.139232,0.213369
1960,2.897138,2.618793,0.232500,0.404694,0.798800,0.111450,0.882927,1.202512,0.238120
1961,2.886696,2.716996,0.282787,0.414808,0.570630,0.120539,0.910542,1.251214,0.263249
1962,2.993718,2.866895,0.292864,0.440262,0.459618,0.132729,0.955667,1.335360,0.272943
1963,3.126294,3.031081,0.324835,0.459613,0.456779,0.142601,1.024911,1.419672,0.285736
1964,3.264111,3.153211,0.358891,0.508886,0.460637,0.139639,1.090020,1.540433,0.313030
1965,3.399342,3.191593,0.386471,0.544630,0.500286,0.153868,1.156312,1.661380,0.323350
1966,3.571209,3.263768,0.419245,0.567980,0.549459,0.159540,1.221123,1.763651,0.349886
1967,3.705254,3.284521,0.489307,0.615772,0.460226,0.159726,1.276867,1.877026,0.374346
1968,3.840702,3.463576,0.561913,0.653578,0.495507,0.174246,1.312749,2.011695,0.395947
1969,4.034926,3.667398,0.653215,0.684230,0.607683,0.177589,1.367141,2.159899,0.414489
1970,4.339471,3.832044,0.767963,0.754278,0.807953,0.181899,1.437871,2.339858,0.436231
1971,4.365247,3.918940,0.796544,0.795599,0.909210,0.192145,1.525874,2.533981,0.460728
1972,4.572791,4.030185,0.852170,0.845587,0.968646,0.203227,1.605411,2.651761,0.491375
1973,4.784823,4.200911,0.914265,0.893494,1.008293,0.209291,1.673209,2.868316,0.526190
1974,4.620820,4.122354,0.914306,0.917020,1.028100,0.216061,1.736921,2.965395,0.488617
1975,4.478038,4.020293,0.868511,0.944483,1.183215,0.234439,1.825755,3.044522,0.447241
1976,4.747563,4.281221,0.907145,0.986016,1.226421,0.244990,1.896073,3.255871,0.438674
1977,4.889398,4.241587,0.933238,1.037467,1.340831,0.259215,1.960565,3.383303,0.448927
1978,4.941142,4.348710,0.901590,1.091197,1.492778,0.263398,2.027894,3.545374,0.455683
1979,5.008359,4.496421,0.953071,1.156806,1.525661,0.276542,2.044713,3.691089,0.457355
1980,4.808296,4.392293,0.944869,1.204422,1.494496,0.291992,2.125165,3.784695,0.446385
1981,4.686172,4.152640,0.926835,1.224194,1.476488,0.315266,2.084698,3.748503,0.412114
1982,4.447080,4.038707,0.897408,1.241868,1.606585,0.325684,2.124002,3.821285,0.373141
1983,4.429187,3.990863,0.880909,1.212049,1.694217,0.352530,2.154129,3.925882,0.358265
1984,4.661921,4.023203,0.937070,1.258725,1.844828,0.361889,2.173259,4.036241,0.359581
1985,4.652383,4.099394,0.912401,1.292297,1.998083,0.397953,2.343796,4.253888,0.367289
1986,4.663165,4.090385,0.912260,1.301116,2.104213,0.426699,2.344124,4.384133,0.393529
1987,4.825445,4.113097,0.902530,1.380341,2.257739,0.455759,2.355475,4.448261,0.527548
1988,5.050268,4.074408,0.985464,1.439693,2.425894,0.492144,2.430947,4.656980,0.545602
1989,5.131927,4.119410,1.021682,1.513851,2.463654,0.541135,2.400308,4.649601,0.565264
1990,5.113455,4.231849,1.158007,1.550757,2.484855,0.578518,2.525518,4.548705,0.557910
1991,5.057931,4.226142,1.169692,1.588774,2.606096,0.615925,2.396205,5.026735,0.550602
1992,5.167481,4.114958,1.179396,1.648924,2.730788,0.656033,1.957886,4.554409,0.559748
1993,5.267343,4.043303,1.172339,1.700719,2.921651,0.677916,1.859679,4.598091,0.562453
1994,5.358824,4.027483,1.227273,1.766168,3.100002,0.716918,1.641616,4.536814,0.589486
1995,5.421502,4.063866,1.239620,1.814256,3.357909,0.762121,1.613141,4.558770,0.622759
1996,5.610582,4.168973,1.251531,1.918639,3.503234,0.825919,1.580376,4.621731,0.673978
1997,5.686465,4.089390,1.244781,2.015852,3.510169,0.859686,1.475360,4.709465,0.709382
1998,5.731050,4.101182,1.204993,1.989253,3.360455,0.877698,1.458368,4.731557,0.751715
1999,5.804669,4.063428,1.241611,2.046829,3.350340,0.951749,1.486301,4.797748,0.776287
2000,6.010508,4.078522,1.264375,2.134714,3.439152,0.978919,1.471259,5.069895,0.786862
2001,5.904882,4.136541,1.249766,2.149998,3.514934,0.992560,1.507707,5.212735,0.781931
2002,5.946771,4.119919,1.279120,2.189949,3.872595,1.023027,1.495694,5.312420,0.799697
2003,6.011837,4.207238,1.287468,2.269353,4.545014,1.059616,1.525607,5.626373,0.834217
2004,6.114007,4.222224,1.282862,2.296754,5.223755,1.125471,1.530694,5.925162,0.906605
2005,6.134521,4.198226,1.290371,2.346216,5.876555,1.185953,1.547599,6.078225,0.945110
2006,6.051668,4.200913,1.267362,2.395066,6.488804,1.259744,1.606542,6.315772,0.997659
2007,6.131004,4.145402,1.303134,2.482161,6.978612,1.358152,1.604549,6.435322,1.055405
2008,5.914078,4.051880,1.232314,2.501835,7.496832,1.462815,1.636923,6.704291,1.068476
2009,5.478210,3.735724,1.163213,2.443068,7.886533,1.612817,1.528961,6.735893,1.022624
2010,5.675786,3.860368,1.214816,2.511719,8.616653,1.677888,1.613113,7.086538,1.086420
2011,5.540173,3.700505,1.264866,2.604568,9.528556,1.780130,1.665207,7.272485,1.111962
2012,5.338698,3.654421,1.306010,2.641436,9.775622,1.963586,1.680104,7.512460,1.101737
2013,5.474257,3.582002,1.315343,2.618258,9.952744,2.036937,1.619420,7.565970,1.118095
2014,5.522807,3.401259,1.263729,2.616673,9.985583,2.185856,1.622589,7.807255,1.128692
2015,5.371771,3.434620,1.223396,2.655732,9.848420,2.268567,1.623100,7.899099,1.171701
2016,5.248024,3.422654,1.203718,2.678724,9.720444,2.382223,1.618599,7.992745,1.185328
2017,5.207751,3.427595,1.188123,2.703811,9.920459,2.433856,1.646457,8.165881,1.231804
2018,5.375491,3.351459,1.143458,2.722592,10.289990,2.599806,1.691647,8.206436,1.265263
2019,5.255816,3.204098,1.105929,2.665806,10.489989,2.625968,1.679449,8.417680,1.257767
2020,4.712771,2.856880,1.030775,2.446080,10.667887,2.441792,1.577136,8.069705,1.004233
