"Year","IND_prod","IND_cons","EU27_prod","EU27_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,0.662468,0.661831,9.209106,10.427943,20.281804,19.957876,2.111385,1.971682
1991,0.691062,0.672358,9.031466,10.136569,19.870918,19.443500,2.184678,2.012082
1992,0.721465,0.713296,8.702988,10.818456,20.107664,19.979386,2.263000,2.135588
1993,0.730983,0.705179,8.517435,10.088722,20.295534,20.014094,2.397120,2.262490
1994,0.758160,0.726878,8.455286,9.802771,20.434715,20.192708,2.520286,2.233413
1995,0.790645,0.749240,8.556452,9.929595,20.445866,20.200629,2.705982,2.410120
1996,0.840745,0.784089,8.747213,9.812563,20.908870,20.595384,2.798923,2.493439
1997,0.858913,0.804711,8.587626,9.603939,20.928155,20.728398,2.781442,2.419750
1998,0.860924,0.806619,8.562803,9.730636,20.826904,21.061582,2.641904,2.323830
1999,0.916855,0.872719,8.423957,9.671730,20.839014,21.401524,2.614359,2.335443
2000,0.926502,0.848994,8.436631,9.810359,21.335732,22.206774,2.664872,2.356682
2001,0.923312,0.856738,8.548788,9.756288,20.747420,21.657001,2.705606,2.452518
2002,0.935709,0.859996,8.521781,9.848479,20.700309,21.880023,2.962167,2.619266
2003,0.953301,0.891029,8.684373,9.969577,20.743667,22.015224,3.455487,2.912699
2004,0.996324,0.933099,8.677127,10.201885,20.912979,22.439567,3.948164,3.268443
2005,1.033412,0.954863,8.601951,10.186303,20.795445,22.360744,4.415885,3.572443
2006,1.080874,1.012408,8.598480,10.559751,20.324050,22.149366,4.848148,3.774905
2007,1.147854,1.079603,8.479453,10.341179,20.395317,22.017984,5.184728,4.072429
2008,1.218332,1.135926,8.264223,10.168914,19.487151,20.801728,5.538565,4.417205
2009,1.324449,1.264396,7.580325,9.174059,17.884670,18.920475,5.793939,4.943615
2010,1.359405,1.287142,7.796231,9.457827,18.367559,19.410810,6.294993,5.331468
2011,1.423776,1.330942,7.556456,9.426134,17.780671,19.071910,6.922319,5.857863
2012,1.551285,1.439750,7.377416,8.779593,16.999848,18.195873,7.062257,6.044752
2013,1.590311,1.427582,7.183727,8.441980,17.301667,18.323665,7.150559,6.178065
2014,1.687137,1.529224,6.867244,8.148965,17.330618,18.273120,7.135343,6.214922
2015,1.731529,1.586229,6.977441,8.076094,16.740834,17.762773,7.000344,6.170234
2016,1.798560,1.644771,6.982952,7.978827,16.246948,17.264531,6.874190,6.152838
2017,1.818106,1.675700,7.027790,8.074149,16.019672,17.074845,6.981215,6.255131
2018,1.922020,1.747155,6.852275,8.079534,16.433971,17.507417,7.207653,6.503752
2019,1.921790,1.764082,6.538871,7.741256,15.971974,17.096273,7.316298,6.585955
