"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,6.187067,0.816907,0.534504,12.926300,1.334129,0.935522,7.095735
1960,6.529436,0.890454,0.552869,13.009399,1.288315,1.162818,7.374942
1961,6.700757,0.783295,0.558558,12.747909,1.279917,1.185463,7.414351
1962,7.000957,0.729086,0.559834,12.999477,1.352554,1.335366,7.513459
1963,7.370952,0.752630,0.579211,13.328720,1.306393,1.470201,7.859493
1964,7.665968,0.772390,0.620560,13.781029,1.358267,1.676497,8.340050
1965,7.824349,0.818573,0.667887,14.141960,1.370078,1.948000,8.991736
1966,8.029298,0.864921,0.674178,14.626151,1.391603,2.183346,8.785779
1967,8.148050,0.855432,0.704944,15.032720,1.450256,2.195578,9.119957
1968,8.471179,0.916635,0.746213,15.414660,1.512734,2.460464,9.250170
1969,8.875487,1.015473,0.785406,15.948978,1.605485,2.715148,9.535361
1970,9.247589,1.182817,0.833715,16.977545,1.726397,2.806659,9.710646
1971,9.524971,1.253949,0.890868,16.923885,1.741710,3.197423,9.885577
1972,9.808236,1.295188,0.920274,17.534388,1.784052,3.352092,10.007390
1973,10.184450,1.336981,0.962997,18.065440,1.906901,3.866454,10.767902
1974,10.150734,1.328122,0.963583,17.341604,1.954642,3.887655,10.736843
1975,10.150738,1.377002,0.935467,16.697929,1.906793,3.695069,10.745197
1976,10.646012,1.414530,0.987832,17.434909,1.950431,4.193767,10.563015
1977,10.672816,1.479298,0.990661,17.728169,1.952708,4.280368,11.230240
1978,10.957497,1.525719,1.028879,17.786552,1.993967,4.167159,11.704420
1979,11.166178,1.554595,1.079838,17.913922,2.078669,4.287672,11.671788
1980,11.120972,1.529937,1.126580,17.156668,2.078990,4.042044,12.410281
1981,10.670237,1.492412,1.121563,16.576421,1.950459,3.893837,12.684039
1982,10.541893,1.517861,1.136427,15.661452,1.920699,3.845834,12.765632
1983,10.509588,1.547022,1.148828,15.317258,1.834529,3.917227,12.118309
1984,10.540472,1.609042,1.219672,15.865728,1.845215,3.966584,12.564335
1985,10.954972,1.666504,1.215601,15.665243,1.856589,4.137864,12.746876
1986,10.928483,1.699237,1.224352,15.473871,1.860075,4.265692,12.551760
1987,10.918286,1.742678,1.190562,15.859711,1.920328,4.229635,13.171693
1988,10.921812,1.852474,1.216883,16.371133,1.950861,4.374997,13.275545
1989,10.837663,1.874908,1.140093,16.471686,1.928696,4.497351,13.845285
1990,11.082107,1.900859,1.046279,16.194003,1.925488,4.502101,13.743727
1991,10.636727,1.946177,1.064757,15.865292,1.908399,4.862002,13.698803
1992,9.738048,1.988391,1.006618,16.018353,1.903397,5.166796,13.793270
1993,9.326569,2.035538,1.039940,16.110778,1.967117,5.465827,13.824141
1994,8.823531,2.095161,1.029205,16.230923,1.992437,5.545214,14.036640
1995,8.791885,2.175946,1.076673,16.175623,2.057718,5.221465,14.212627
1996,8.858314,2.239509,1.065505,16.531916,2.106628,5.181745,14.453477
1997,8.579334,2.247229,1.078881,16.603301,2.194473,5.002562,14.801289
1998,8.551177,2.126054,1.085299,16.568105,2.285628,5.098420,15.054276
1999,8.442337,2.145889,1.049526,16.583662,2.307825,5.402993,15.285774
2000,8.446567,2.200831,1.093611,16.957210,2.258992,5.834089,15.370092
2001,8.618162,2.215702,1.064531,16.533160,2.265633,5.804604,15.622568
2002,8.564532,2.328969,1.048928,16.477778,2.280384,5.764644,15.725094
2003,8.755045,2.534032,1.109373,16.568954,2.292197,6.019356,15.856187
2004,8.785506,2.731870,1.160343,16.639891,2.278709,6.413859,16.151748
2005,8.759617,2.909794,1.154655,16.561960,2.341946,6.528053,16.015543
2006,8.879407,3.070262,1.161311,16.213883,2.359302,6.828428,16.118959
2007,8.791322,3.227423,1.176331,16.275106,2.404311,6.663067,15.989825
2008,8.674421,3.347807,1.196759,15.606737,2.523466,7.004253,16.007617
2009,7.960285,3.445008,1.176243,14.365136,2.459770,7.165773,15.346412
2010,8.251590,3.669999,1.172498,14.648804,2.638592,7.349625,15.244075
2011,8.134189,3.925715,1.180859,14.278552,2.655614,7.389392,15.011798
2012,8.049546,4.024207,1.145626,13.735506,2.740085,7.774199,14.757136
2013,7.824241,4.061053,1.122732,13.894806,2.833933,7.468606,14.222459
2014,7.507492,4.069676,1.183673,13.849420,2.834857,7.690940,14.269440
2015,7.501340,4.037151,1.119144,13.423251,2.769510,7.854847,14.221687
2016,7.483446,4.015123,1.118936,13.030343,2.654851,7.787562,14.397396
2017,7.511935,4.062835,1.113131,12.817189,2.605058,7.919201,14.234767
2018,7.465271,4.179982,1.086476,13.072107,2.459992,7.664097,14.113968
2019,7.258363,4.220565,1.077242,12.698141,2.405399,7.640312,14.047804
2020,6.607085,4.125876,0.989582,11.263160,2.215855,7.436794,13.092570
