"Year","fossil_carbon","land-use_change","atmosphere","land","ocean"
1850,0.196896,2.537534,0.693406,1.252226,0.601610
1851,0.198805,2.614941,0.459936,-0.788838,0.606337
1852,0.207551,2.654278,0.255261,0.303896,0.628907
1853,0.217209,2.703093,0.035799,0.241393,0.633524
1854,0.255139,2.730334,-0.143195,1.301798,0.638708
1855,0.260166,2.747093,-0.232692,0.972038,0.662561
1856,0.277292,2.775031,-0.231914,2.254438,0.667837
1857,0.279889,2.801692,-0.193780,2.974306,0.692349
1858,0.284172,2.828649,-0.133078,0.472009,0.716715
1859,0.301313,2.852295,-0.050585,-0.530202,0.724006
1860,0.330642,2.724030,0.054476,1.655266,0.731591
1861,0.347735,2.608695,0.186776,-1.827689,0.758320
1862,0.354057,2.601013,0.347092,-1.931144,0.802471
1863,0.377860,2.598782,0.536981,2.771708,0.829493
1864,0.407091,2.566681,0.758778,2.523849,0.838415
1865,0.432308,2.529964,1.004700,0.032329,0.866408
1866,0.445971,2.519076,1.227274,1.588452,0.894071
1867,0.477815,2.526745,1.414050,2.023821,0.923658
1868,0.490752,2.514600,1.566584,2.752311,0.951522
1869,0.521131,2.498654,1.682541,0.603482,0.982062
1870,0.532537,2.691299,1.765034,1.814758,0.993402
1871,0.566143,2.799907,1.816397,-0.601327,1.022732
1872,0.626372,2.849718,1.822623,0.508649,1.054591
1873,0.665419,2.922510,1.782933,0.390108,1.084342
1874,0.622997,2.972660,1.696549,1.536725,1.116238
1875,0.675799,3.011731,1.580592,1.416028,1.147253
1876,0.685553,3.042989,1.504326,2.696273,1.179075
1877,0.699099,3.088690,1.483313,3.646758,1.229125
1878,0.704382,3.130632,1.518334,1.187567,1.261405
1879,0.754870,3.176768,1.605496,0.161647,1.292549
1880,0.853707,3.221050,1.716783,2.482899,1.324609
1881,0.882407,3.214180,1.848305,-0.586240,1.356688
1882,0.931925,3.281402,1.999282,-1.049628,1.388693
1883,0.991036,3.339393,2.170494,3.795473,1.418811
1884,1.002178,3.354380,2.372056,3.312687,1.450010
1885,1.009675,3.359022,2.637434,0.853496,1.480384
1886,1.025479,3.387457,2.870126,2.713515,1.491834
1887,1.076762,3.432584,3.012542,2.929045,1.521751
1888,1.192276,3.442161,3.076357,3.864442,1.533732
1889,1.191804,3.442989,3.126164,1.969939,1.561762
1890,1.298464,3.578992,3.164298,2.489365,1.589681
1891,1.358880,3.680594,3.158072,0.040951,1.599080
1892,1.370095,3.722227,3.093479,1.375078,1.626596
1893,1.353675,3.780934,2.978300,1.497929,1.653893
1894,1.400865,3.815629,2.834327,2.849299,1.682765
1895,1.485281,3.845597,2.666228,2.420395,1.691376
1896,1.533711,3.881614,2.436649,4.146786,1.719552
1897,1.606311,3.922052,2.164268,3.914014,1.748314
1898,1.694277,3.961460,1.949475,1.974249,1.758006
1899,1.850906,3.995635,1.819510,1.002212,1.786988
