"Year","China","USA","EU27","India","Russia","Japan","United Kingdom","All others"
1850,0,10.052477,27.522125,0,0.035196,0,62.268786,0.121417
1851,0,11.227164,28.174708,0,0.017513,0,60.464643,0.115973
1852,0,11.805543,29.137491,0,0.011488,0,58.930535,0.114944
1853,0,12.356369,30.099292,0,0.008446,0,57.418779,0.117114
1854,0,12.508218,30.612871,0,0.006443,0,56.749750,0.122717
1855,0,12.928833,31.449641,0,0.020919,0,55.461989,0.138618
1856,0,13.188338,32.019304,0,0.017323,0,54.630263,0.144772
1857,0,13.407170,32.591619,0,0.014762,0,53.835597,0.150852
1858,0,13.570197,33.200214,0.018146,0.026389,0,53.014698,0.170356
1859,0,13.748992,33.360065,0.041657,0.035808,0,52.622174,0.191304
1860,0,13.819401,33.443756,0.059681,0.046315,0,52.407132,0.223716
1861,0,13.744140,33.683115,0.068881,0.057855,0,52.179356,0.266653
1862,0,13.709580,34.105183,0.077631,0.065519,0,51.744309,0.297779
1863,0,13.786900,34.378246,0.085795,0.071914,0,51.350962,0.326182
1864,0,13.845835,34.633062,0.091111,0.078057,0,50.998635,0.353299
1865,0,13.823950,34.931305,0.094787,0.082173,0,50.681745,0.386040
1866,0,13.777207,35.173779,0.099000,0.107580,0,50.405482,0.436953
1867,0,13.901703,35.393605,0.090631,0.132619,0,49.990210,0.491232
1868,0,14.131719,35.648519,0.083390,0.148153,0.000179,49.467488,0.520552
1869,0,14.432615,35.822184,0.076869,0.169241,0.000440,48.955996,0.542656
1870,0,14.735008,35.924450,0.071180,0.189552,0.000662,48.508347,0.570800
1871,0,14.987499,36.030038,0.065989,0.216822,0.000944,48.088506,0.610202
1872,0,15.374059,36.142211,0.061062,0.239672,0.001267,47.537487,0.644243
1873,0,15.784969,36.265933,0.056574,0.256006,0.001619,46.966867,0.668032
1874,0,16.156527,36.206887,0.052932,0.278079,0.007572,46.600905,0.697097
1875,0,16.413088,36.305696,0.049477,0.301406,0.020987,46.181311,0.728036
1876,0,16.596984,36.463785,0.046404,0.330986,0.032396,45.768411,0.761033
1877,0,16.862336,36.506090,0.043640,0.357629,0.041454,45.392979,0.795870
1878,0,17.064299,36.597451,0.055391,0.394535,0.054038,45.001043,0.833243
1879,0,17.417833,36.658034,0.065003,0.427257,0.068494,44.492945,0.870434
1880,0,17.773595,36.771232,0.074500,0.462216,0.081047,43.904256,0.933153
