"Year","China","USA","EU27","India","Russia","Japan","World"
1950,0.142194,16.003092,3.891037,0.162565,4.029511,1.238387,2.366805
1951,0.179178,16.277361,4.318928,0.167635,4.304027,1.464221,2.468913
1952,0.219712,15.625311,4.454151,0.173634,4.536642,1.522377,2.457634
1953,0.225464,15.748456,4.500875,0.173910,4.721092,1.678023,2.482710
1954,0.266772,14.752678,4.747821,0.180089,5.070993,1.620063,2.491860
1955,0.311187,15.891563,5.095277,0.192443,5.656094,1.593774,2.684152
1956,0.347339,16.369423,5.413527,0.195833,6.102761,1.784759,2.807571
1957,0.405572,15.952643,5.541580,0.215719,6.576077,2.067717,2.848817
1958,0.819336,15.194210,5.453543,0.221338,6.916366,1.971762,2.877137
1959,1.107563,15.407774,5.493725,0.229880,7.169972,2.076044,2.972298
1960,1.209555,15.515902,5.890620,0.247366,7.365601,2.482018,3.092945
1961,0.850478,15.227612,6.115876,0.262246,7.500109,2.990533,3.045905
1962,0.673825,15.566844,6.488537,0.282957,7.778614,3.067976,3.094843
1963,0.657862,16.037837,6.865578,0.297815,8.251422,3.370032,3.198854
1964,0.650383,16.534802,7.159806,0.285649,8.690194,3.685493,3.307553
1965,0.690794,17.019373,7.190155,0.308276,9.140534,3.925677,3.388816
1966,0.740097,17.688378,7.350375,0.313050,9.583660,4.209454,3.481846
1967,0.603511,18.171466,7.460617,0.306928,9.960941,4.853167,3.519360
1968,0.631963,18.661782,7.864907,0.327829,10.187425,5.502257,3.634958
1969,0.753963,19.430511,8.331578,0.327001,10.557278,6.311502,3.796962
1970,0.976258,20.712147,8.638936,0.327633,11.047910,7.318866,4.025894
1971,1.071222,20.650784,8.810967,0.338361,11.662964,7.484412,4.104675
1972,1.114044,21.441341,9.087046,0.349736,12.204770,7.892217,4.211481
1973,1.133568,22.236498,9.471097,0.351886,12.649405,8.347280,4.348205
1974,1.131690,21.282833,9.364092,0.354894,13.056389,8.235310,4.248369
1975,1.277438,20.440081,9.125758,0.376244,13.644908,7.726046,4.178595
1976,1.300987,21.473788,9.767019,0.384220,14.087115,7.979865,4.328620
1977,1.399774,21.912222,9.619916,0.397319,14.478375,8.127278,4.372740
1978,1.535455,21.938860,9.896344,0.394604,14.882551,7.780430,4.429694
1979,1.547116,22.030323,10.123455,0.404896,14.909745,8.155154,4.476656
1980,1.494363,20.953339,9.994322,0.417757,15.393819,8.019802,4.372498
1981,1.456071,20.230751,9.433830,0.440694,14.998490,7.806058,4.193724
1982,1.562903,19.019095,9.180842,0.444777,15.176364,7.503080,4.087975
1983,1.625255,18.765336,9.049815,0.470398,15.284472,7.314844,4.042505
1984,1.743410,19.566787,9.109411,0.471927,15.311276,7.732285,4.108836
1985,1.857663,19.344641,9.221726,0.507360,16.395082,7.485845,4.171178
1986,1.921631,19.208704,9.156204,0.532060,16.279163,7.446466,4.156706
1987,2.022890,19.691450,9.210688,0.556019,16.240975,7.333310,4.209025
1988,2.132233,20.415659,9.081028,0.587656,16.648787,7.974010,4.295349
1989,2.126852,20.550245,9.145327,0.632659,16.343757,8.235482,4.278202
1990,2.111385,20.281804,9.209106,0.662468,17.118493,9.300873,4.270431
1991,2.184678,19.870918,9.031466,0.691062,16.191056,9.362795,4.291995
1992,2.263000,20.107664,8.702988,0.721465,13.204997,9.410228,4.104374
1993,2.397120,20.295534,8.517435,0.730983,12.533764,9.325938,4.085478
1994,2.520286,20.434715,8.455286,0.758160,11.065873,9.736157,4.055090
1995,2.705982,20.445866,8.556452,0.790645,10.882876,9.809798,4.083056
1996,2.798923,20.908870,8.747213,0.840745,10.676710,9.882268,4.146851
1997,2.781442,20.928155,8.587626,0.858913,9.986868,9.809712,4.115218
1998,2.641904,20.826904,8.562803,0.860924,9.896592,9.479372,4.044629
1999,2.614359,20.839014,8.423957,0.916855,10.116675,9.751432,4.043205
2000,2.664872,21.335732,8.436631,0.926502,10.049250,9.914784,4.107468
2001,2.705606,20.747420,8.548788,0.923312,10.338745,9.785677,4.090082
2002,2.962167,20.700309,8.521781,0.935709,10.299807,10.001481,4.132042
2003,3.455487,20.743667,8.684373,0.953301,10.549739,10.053757,4.288658
2004,3.948164,20.912979,8.677127,0.996324,10.623872,10.006393,4.430711
2005,4.415885,20.795445,8.601951,1.033412,10.771743,10.055405,4.525099
2006,4.848148,20.324050,8.598480,1.080874,11.202966,9.868672,4.617415
2007,5.184728,20.395317,8.479453,1.147854,11.199775,10.141591,4.696390
2008,5.538565,19.487151,8.264223,1.218332,11.427136,9.587107,4.723674
2009,5.793939,17.884670,7.580325,1.324449,10.667648,9.048355,4.598882
2010,6.294993,18.367559,7.796231,1.359405,11.242830,9.450708,4.792891
2011,6.922319,17.780671,7.556456,1.423776,11.587834,9.843395,4.895256
2012,7.062257,16.999848,7.377416,1.551285,11.667886,10.169549,4.908072
2013,7.150559,17.301667,7.183727,1.590311,11.220611,10.250952,4.893229
2014,7.135343,17.330618,6.867244,1.687137,11.216192,9.859891,4.870874
2015,7.000344,16.740834,6.977441,1.731529,11.194946,9.558895,4.809943
2016,6.874190,16.246948,6.982952,1.798560,11.141591,9.421471,4.749780
2017,6.981215,16.019672,7.027790,1.818106,11.313516,9.318411,4.759726
2018,7.207653,16.433971,6.852275,1.922020,11.607767,8.989294,4.802215
2019,7.316298,15.971974,6.538871,1.921790,11.513151,8.717694,4.758236
2020,7.411736,14.237864,5.836209,1.769409,10.807153,8.149939,4.465447
