"Year","All others","India","China","EU27","USA"
1959,3.262086,0.101561,0.720152,1.940654,2.831737
1960,3.481155,0.111450,0.798800,2.098390,2.897138
1961,3.641912,0.120539,0.570630,2.197685,2.886696
1962,3.811452,0.132729,0.459618,2.352540,2.993718
1963,4.034193,0.142601,0.456779,2.511656,3.126294
1964,4.322289,0.139639,0.460637,2.642182,3.264111
1965,4.588402,0.153868,0.500286,2.675335,3.399342
1966,4.829556,0.159540,0.549459,2.756098,3.571209
1967,5.100110,0.159726,0.460226,2.817730,3.705254
1968,5.408560,0.174246,0.495507,2.990898,3.840702
1969,5.756757,0.177589,0.607683,3.189616,4.034926
1970,6.238999,0.181899,0.807953,3.329246,4.339471
1971,6.613736,0.192145,0.909210,3.417930,4.365247
1972,6.928604,0.203227,0.968646,3.547885,4.572791
1973,7.355181,0.209291,1.008293,3.721204,4.784823
1974,7.443100,0.216061,1.028100,3.701513,4.620820
1975,7.522696,0.234439,1.183215,3.628109,4.478038
1976,7.860704,0.244990,1.226421,3.904294,4.747563
1977,8.139660,0.259215,1.340831,3.865427,4.889398
1978,8.374668,0.263398,1.492778,3.995781,4.941142
1979,8.693781,0.276542,1.525661,4.105675,5.008359
1980,8.828214,0.291992,1.494496,4.069616,4.808296
1981,8.693879,0.315266,1.476488,3.855106,4.686172
1982,8.732813,0.325684,1.606585,3.763599,4.447080
1983,8.801485,0.352530,1.694217,3.720613,4.429187
1984,9.032492,0.361889,1.844828,3.755587,4.661921
1985,9.456412,0.397953,1.998083,3.812653,4.652383
1986,9.629017,0.426699,2.104213,3.796530,4.663165
1987,9.896931,0.455759,2.257739,3.830322,4.825445
1988,10.345534,0.492144,2.425894,3.787560,5.050268
1989,10.444522,0.541135,2.463654,3.825595,5.131927
1990,10.709336,0.578518,2.484855,3.863410,5.113455
1991,11.158263,0.615925,2.606096,3.799887,5.057931
1992,10.342976,0.656033,2.730788,3.672347,5.167481
1993,10.332681,0.677916,2.921651,3.603904,5.267343
1994,10.202882,0.716918,3.100002,3.585958,5.358824
1995,10.277068,0.762121,3.357909,3.635345,5.421502
1996,10.494666,0.825919,3.503234,3.720561,5.610582
1997,10.589412,0.859686,3.510169,3.654818,5.686465
1998,10.591180,0.877698,3.360455,3.645888,5.731050
1999,10.822331,0.951749,3.350340,3.589873,5.804669
2000,11.204379,0.978919,3.439152,3.601249,6.010508
2001,11.380033,0.992560,3.514934,3.658646,5.904882
2002,11.537343,1.023027,3.872595,3.659456,5.946771
2003,12.006636,1.059616,4.545014,3.743619,6.011837
2004,12.409507,1.125471,5.223755,3.754793,6.114007
2005,12.670642,1.185953,5.876555,3.735105,6.134521
2006,13.038547,1.259744,6.488804,3.744767,6.051668
2007,13.323355,1.358152,6.978612,3.702618,6.131004
2008,13.578778,1.462815,7.496832,3.616942,5.914078
2009,13.304963,1.612817,7.886533,3.324520,5.478210
2010,13.947161,1.677888,8.616653,3.425813,5.675786
2011,14.293313,1.780130,9.528556,3.326279,5.540173
2012,14.643679,1.963586,9.775622,3.252490,5.338698
2013,14.647534,2.036937,9.952744,3.171554,5.474257
2014,14.804248,2.185856,9.985583,3.035948,5.522807
2015,14.918766,2.268567,9.848420,3.088882,5.371771
2016,15.006064,2.382223,9.720444,3.095704,5.248024
2017,15.243643,2.433856,9.920459,3.120029,5.207751
2018,15.334765,2.599806,10.289990,3.046089,5.375491
2019,15.421019,2.625968,10.489989,2.909711,5.255816
2020,14.386234,2.441792,10.667887,2.598575,4.712771
2021,14.767562,2.741645,11.066162,2.787804,5.059466
