"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,9.570938,127.795530,17733644,2148546476
1972,9.985114,134.684298,18815828,2188630468
1973,10.550195,143.777028,20216200,2229192843
1974,10.655996,146.088393,21055458,2270281528
1975,10.703564,147.386115,21345379,2311941586
1976,11.326325,155.145440,22690007,2354163847
1977,11.556160,160.606745,23583497,2396976900
1978,11.914765,167.485236,24297916,2440516855
1979,12.342101,174.731883,25362146,2484957971
1980,12.451444,174.766148,25934947,2530412166
1981,12.136871,175.331892,26308184,2576893223
1982,12.123270,175.940623,26599688,2624330166
1983,12.163833,179.024296,27012660,2672650199
1984,12.428498,186.871944,27812815,2721738752
1985,12.901775,190.528105,28554798,2771479712
1986,13.032017,194.986954,29509794,2821837778
1987,13.199705,200.762638,30450253,2872728386
1988,13.587492,206.554528,31601384,2923912885
1989,13.704852,209.035917,32676556,2975091003
1990,14.014837,212.535145,33671137,3026033216
1991,14.407548,213.657261,34075529,3076684220
1992,13.455574,213.151041,34276800,3127036658
1993,13.374132,211.632782,34532087,3176991545
1994,13.199354,212.164717,35160137,3226454345
1995,13.289653,216.020704,36121711,3275391380
1996,13.541249,220.818654,37265572,3323755394
1997,13.534848,222.563139,38512058,3371646169
1998,13.485353,223.021355,38992655,3419224005
1999,13.635918,226.410697,39916317,3466963868
2000,14.018765,231.271677,41749780,3515416404
2001,14.256748,234.592786,42581800,3564622192
2002,14.397102,237.274140,43561087,3614528657
2003,14.916038,242.516645,44863901,3665217537
2004,15.257695,249.912987,47020355,3716744567
2005,15.460637,253.773519,48875409,3769153522
2006,15.785655,259.103669,51189748,3822487184
2007,15.970568,263.490057,53587114,3876760294
2008,16.127243,266.254474,54900844,3931994716
2009,15.606860,258.070890,53694350,3988202170
2010,16.286554,269.976398,56064198,4045364843
2011,16.507630,273.607028,57856047,4103475347
2012,16.794432,277.003049,59179015,4162452405
2013,16.700993,278.704455,60616116,4222118548
2014,16.711504,277.374415,62049585,4282210169
2015,16.835947,280.059584,63288264,4342531756
2016,16.916441,283.564896,64638859,4403050797
2017,17.131867,287.615417,66419448,4463683299
2018,17.115591,291.100662,67604644.085300,4524307646
2019,17.072963,291.035276,68791279.132597,4582939809
2020,15.980576,272.838775,65743677.095533,4643186901
