"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,15.498267,212.537132,23887925,3775759617
1972,16.221152,223.967866,25244541,3851650245
1973,17.078792,237.073665,26995914,3927780238
1974,17.009594,238.402668,27827819,4003794172
1975,17.046497,239.590423,28206810,4079480606
1976,17.983973,252.450805,29850453,4154666864
1977,18.494531,261.685670,31106196,4229506060.000000
1978,19.067767,272.207553,32269687,4304533501
1979,19.610018,281.618213,33545303,4380506100
1980,19.492614,279.401943,34210287.000000,4458003514
1981,19.026910,278.152410,34830197,4536996762
1982,18.875760,276.585153,35097311,4617386542
1983,18.998032,281.003915,35968482,4699569304
1984,19.656717,294.311264,37445429,4784011620.999990
1985,20.317484,302.024510,38687853,4870921740
1986,20.619624,308.833476,40072143,4960567912
1987,21.266195,319.613362,41482050,5052522147
1988,22.101399,331.764562,43261390,5145426008
1989,22.406833,338.206448,44797942,5237441558
1990,22.749574,342.141518,46097489,5327231061
1991,23.238102,344.610737,46659632,5414289444
1992,22.569624,346.904439,47526116,5498919809
1993,22.803495,349.508586,48413588,5581597546
1994,22.964583,354.073478,49850545,5663150427
1995,23.453944,361.887096,51512953,5744212979
1996,24.154961,372.255963,53495423,5824891951
1997,24.300550,375.956458,55609957,5905045788
1998,24.206271,378.104462,57011839,5984793942
1999,24.518962,384.840554,58999899,6064239055
2000,25.234207,394.470798,61778551,6143493823
2001,25.451054,398.343289,63257170,6222626606
2002,26.039191,407.154589,65022527,6301773188
2003,27.366723,421.640609,67468166,6381185114
2004,28.627533,442.350773,71006211,6461159388.999990
2005,29.602777,456.622713,74409708,6541907027
2006,30.583530,469.575353,78405641,6623517833
2007,31.493742,484.235709,82648017,6705946610.000010
2008,32.069444,489.452773,85025548,6789088686
2009,31.607042,481.969032,84791316,6872767093
2010,33.343300,505.377108,89251222,6956823603.000010
2011,34.468451,517.642963,92867535,7041194301
2012,34.974075,524.610041,95947908,7125828059
2013,35.283025,534.317933,99212111,7210581976
2014,35.534443,539.555984,102682411,7295290765
2015,35.496406,544.414469,106129746,7379797139
2016,35.452459,551.741666,109507321,7464022049
2017,35.925738,561.824605,113555335,7547858925.000010
2018,36.646140,576.129864,117608124.906150,7631091040
2019,36.702503,581.510714,120943491.328488,7713468100.000010
2020,34.807259,556.633550,117174892.138693,7794798739
