"Year","GDP-PPP","Emissions/GDP-PPP"
1,24.070288,0.443197
2,17.641854,0.267136
3,8.673200,0.281533
4,4.632701,0.222500
5,3.550936,0.181448
6,3.284038,0.480243
7,3.130284,0.188322
8,2.863940,0.163196
9,2.423932,0.114126
10,2.405047,0.137036
