"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,3.417930,46.444613,5864099,387917691
1972,3.547885,48.968035,6163433,390433201
1973,3.721204,51.767724,6547400,392901038
1974,3.701513,51.242507,6778078,395288001
1975,3.628109,50.966699,6787316,397567974
1976,3.904294,54.198616,7118539,399742649
1977,3.865427,54.961893,7345139,401815068
1978,3.995781,57.221737,7573770,403763290
1979,4.105675,59.296825,7835614,405560684
1980,4.069616,58.291382,8003548,407192805
1981,3.855106,56.595649,8005150,408647013
1982,3.763599,55.253259,8062209,409940468
1983,3.720613,55.492476,8200327,411125866
1984,3.755587,57.164232,8421623,412275462
1985,3.812653,60.075883,8617753,413442394
1986,3.796530,60.954439,8877623,414640136
1987,3.830322,62.202461,9096011,415856232
1988,3.787560,62.704212,9452337,417084918
1989,3.825595,62.887691,9771495,418311441
1990,3.863410,62.545306,10115114,419520694
1991,3.799887,62.244093,10199203,420738733
1992,3.672347,61.049857,10274221,421963887
1993,3.603904,60.561261,10218879,423120846
1994,3.585958,60.317170,10496637,424108354
1995,3.635345,61.819177,10832667,424865904
1996,3.720561,63.720529,11051069,425342472
1997,3.654818,63.460251,11349520,425591161
1998,3.645888,64.121044,11684498,425782106
1999,3.589873,63.816456,12021984,426150442
2000,3.601249,64.265187,12491832,426858619
2001,3.658646,65.517169,12771970,427972430
2002,3.659456,65.106348,12940491,429423810
2003,3.743619,66.357228,13092746,431075391
2004,3.754793,67.250311,13456173,432723095
2005,3.735105,67.295851,13738717,434216027
2006,3.744767,67.780633,14245364,435514997
2007,3.702618,66.915927,14732099,436657666
2008,3.616942,66.614993,14865659,437662612
2009,3.324520,62.618129,14227451,438572250
2010,3.425813,64.966291,14519703,439419060
2011,3.326279,63.015334,14778934,440190307
2012,3.252490,62.263798,14679509,440871126
2013,3.171554,61.725163,14680767,441491387
2014,3.035948,59.496537,14925974,442091255
2015,3.088882,60.254318,15289560,442695586
2016,3.095704,60.925292,15619736,443323137
2017,3.120029,61.676591,16052643,443955863
2018,3.046089,61.650659,16413927.590710,444536820
2019,2.909711,60.597382,16733598.035757,444986729
2020,2.598575,55.614094,15734531.004189,445250514
