"Year","population","Emissions/population"
1,1.439324,7.411736
2,1.380004,1.769409
3,0.445251,5.836209
4,0.331003,14.237864
5,0.273524,2.155208
6,0.220892,1.062756
7,0.212559,2.198837
8,0.206140,0.608631
9,0.164689,0.563738
10,0.145934,10.807153
