"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,8.601402,0.096909,8.815579,0.002767,0,-0.313853
1991,8.591784,0.099408,8.802910,0.002822,0,-0.313356
1992,8.623754,0.100583,8.834866,0.002771,0,-0.314467
1993,8.555180,0.103750,8.760582,0.002674,0,-0.311826
1994,8.604272,0.103799,8.811345,0.002723,0,-0.313596
1995,8.539135,0.111919,8.735271,0.002805,0,-0.310860
1996,8.529889,0.113466,8.723986,0.002870,0,-0.310433
1997,8.530611,0.110592,8.727770,0.002796,0,-0.310548
1998,8.360894,0.114914,8.547440,0.002636,0,-0.304095
1999,8.493902,0.107652,8.693023,0.002503,0,-0.309275
2000,8.450554,0.116169,8.638555,0.002965,0,-0.307135
2001,7.953245,0.129380,8.107326,0.003162,0,-0.286623
2002,8.178706,0.133414,8.337674,0.003182,0,-0.295564
2003,7.568776,0.126150,7.710588,0.003210,0,-0.271172
2004,8.035288,0.135450,8.186165,0.003332,0,-0.289659
2005,7.911821,0.145848,8.046660,0.003524,0,-0.284210
2006,8.012410,0.146265,8.150103,0.003385,0,-0.287342
2007,7.911036,0.145987,8.044187,0.003731,0,-0.282869
2008,8.037126,0.155350,8.164736,0.004441,0,-0.287401
2009,8.026896,0.153225,8.155876,0.004315,0,-0.286521
2010,7.988836,0.150344,8.120217,0.004400,0,-0.286125
2011,8.298042,0.168302,8.423315,0.004461,0,-0.298036
2012,8.274890,0.176982,8.389497,0.004535,0,-0.296124
2013,8.060819,0.169787,8.175103,0.004188,0,-0.288259
2014,7.986673,0.188938,8.078045,0.004328,0,-0.284637
2015,8.143637,0.166702,8.264328,0.004168,0,-0.291561
2016,8.056267,0.161384,8.179129,0.003928,0,-0.288174
2017,8.221673,0.150840,8.362502,0.003712,0,-0.295382
2018,7.896842,0.120531,8.056928,0.003000,0,-0.283616
2019,7.689569,0.100197,7.862891,0.002787,0.000017,-0.276321
2020,7.507577,0.088419,7.682644,0.002937,0.000087,-0.266509
2021,8.346743,0.082176,8.562053,0.002672,0.000169,-0.300326
2022,7.857037,0.098909,8.037413,0.002793,0.000446,-0.282524
